Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio
4000EEW_B04_U04_1871,inclusion,,[inklúːʒən],n.,<i>Inclusion</i> is the act of including someone or something in a larger group or set.,The school promotes the <b>inclusion</b> of parents in their students’ education.,The school promotes the {{c1::inclusion}} of parents in their students’ education.,"""<img src=""""4000EEW_B04_U04_1871.jpg"""" />""",[sound:4000EEW_B04_U04_1871.word.mp3],[sound:4000EEW_B04_U04_1871.definition.mp3],[sound:4000EEW_B04_U04_1871.example.mp3]
4000EEW_B04_U04_1872,inspire,,[inspáiər],v.,To <i>inspire</i> is to encourage someone by making them feel confident and eager to do something.,Jim’s father likes to <b>inspire</b> his son by encouraging him to follow his dream.,Jim’s father likes to {{c1::inspire}} his son by encouraging him to follow his dream.,"""<img src=""""4000EEW_B04_U04_1872.jpg"""" />""",[sound:4000EEW_B04_U04_1872.word.mp3],[sound:4000EEW_B04_U04_1872.definition.mp3],[sound:4000EEW_B04_U04_1872.example.mp3]
4000EEW_B04_U04_1873,mere,,[miər],adj.,<i>Mere</i> is used to emphasize how small or unimportant something or someone is.,Scott lost the race by a <b>mere</b> two seconds.,Scott lost the race by a {{c1::mere}} two seconds.,"""<img src=""""4000EEW_B04_U04_1873.jpg"""" />""",[sound:4000EEW_B04_U04_1873.word.mp3],[sound:4000EEW_B04_U04_1873.definition.mp3],[sound:4000EEW_B04_U04_1873.example.mp3]
4000EEW_B04_U04_1874,position,,[pəzíʃən],n.,A <i>position</i> is a rank or role of someone in an organization or company.,Kyle is interviewing for a marketing <b>position</b>.,Kyle is interviewing for a marketing {{c1::position}}.,"""<img src=""""4000EEW_B04_U04_1874.jpg"""" />""",[sound:4000EEW_B04_U04_1874.word.mp3],[sound:4000EEW_B04_U04_1874.definition.mp3],[sound:4000EEW_B04_U04_1874.example.mp3]
4000EEW_B04_U04_1875,power,,[páuər],n.,<i>Power</i> is the ability to influence people or give them strong feelings.,The coach has the <b>power</b> to keep the players from playing if they don’t show up to practice.,The coach has the {{c1::power}} to keep the players from playing if they don’t show up to practice.,"""<img src=""""4000EEW_B04_U04_1875.jpg"""" />""",[sound:4000EEW_B04_U04_1875.word.mp3],[sound:4000EEW_B04_U04_1875.definition.mp3],[sound:4000EEW_B04_U04_1875.example.mp3]
4000EEW_B04_U04_1876,responsibility,,[rispὰnsəbíləti],n.,<i>Responsibility</i> is a task or duty that you are expected or required to do.,Parents have the <b>responsibility</b> to raise their children with love.,Parents have the {{c1::responsibility}} to raise their children with love.,"""<img src=""""4000EEW_B04_U04_1876.jpg"""" />""",[sound:4000EEW_B04_U04_1876.word.mp3],[sound:4000EEW_B04_U04_1876.definition.mp3],[sound:4000EEW_B04_U04_1876.example.mp3]
4000EEW_B04_U04_1877,soar,,[sɔːr],v.,To <i>soar</i> is to increase quickly to a high level.,The temperature today will <b>soar</b> to a high of 100 degrees Fahrenheit.,The temperature today will {{c1::soar}} to a high of 100 degrees Fahrenheit.,"""<img src=""""4000EEW_B04_U04_1877.jpg"""" />""",[sound:4000EEW_B04_U04_1877.word.mp3],[sound:4000EEW_B04_U04_1877.definition.mp3],[sound:4000EEW_B04_U04_1877.example.mp3]
4000EEW_B04_U04_1878,tool,,[tuːl],n.,A <i>tool</i> is a piece of equipment or a skill that is useful for doing your job.,Presentation skills are an important <b>tool</b> for communication.,Presentation skills are an important {{c1::tool}} for communication.,"""<img src=""""4000EEW_B04_U04_1878.jpg"""" />""",[sound:4000EEW_B04_U04_1878.word.mp3],[sound:4000EEW_B04_U04_1878.definition.mp3],[sound:4000EEW_B04_U04_1878.example.mp3]
4000EEW_B04_U04_1879,vocal,,[vóukəl],adj.,"When someone is <i>vocal</i>, he or she expresses a strong opinion publicly.",Shawn gets <b>vocal</b> when someone disagrees with his opinions.,Shawn gets {{c1::vocal}} when someone disagrees with his opinions.,"""<img src=""""4000EEW_B04_U04_1879.jpg"""" />""",[sound:4000EEW_B04_U04_1879.word.mp3],[sound:4000EEW_B04_U04_1879.definition.mp3],[sound:4000EEW_B04_U04_1879.example.mp3]
4000EEW_B04_U04_1880,workplace,,[wəːrkpleis],n.,A <i>workplace</i> is the room or building where you work.,Diversity is important in the <b>workplace</b>.,Diversity is important in the {{c1::workplace}}.,"""<img src=""""4000EEW_B04_U04_1880.jpg"""" />""",[sound:4000EEW_B04_U04_1880.word.mp3],[sound:4000EEW_B04_U04_1880.definition.mp3],[sound:4000EEW_B04_U04_1880.example.mp3]
4000EEW_B04_U05_1881,academic,,[ӕkədémik],adj.,"When something is <i>academic</i>, it relates to schools and education.",Alex received an award for his <b>academic</b> achievements.,Alex received an award for his {{c1::academic}} achievements.,"""<img src=""""4000EEW_B04_U05_1881.jpg"""" />""",[sound:4000EEW_B04_U05_1881.word.mp3],[sound:4000EEW_B04_U05_1881.definition.mp3],[sound:4000EEW_B04_U05_1881.example.mp3]
4000EEW_B04_U05_1882,acceptance,,[əkséptəns],n.,"<i>Acceptance</i> is when people agree that an idea, statement, explanation, etc., is right or true.",Mr. Song celebrated his <b>acceptance</b> into the political party.,Mr. Song celebrated his {{c1::acceptance}} into the political party.,"""<img src=""""4000EEW_B04_U05_1882.jpg"""" />""",[sound:4000EEW_B04_U05_1882.word.mp3],[sound:4000EEW_B04_U05_1882.definition.mp3],[sound:4000EEW_B04_U05_1882.example.mp3]
4000EEW_B04_U05_1883,array,,[əréi],n.,An <i>array</i> is a large group or number of things.,The toy cars are available in an <b>array</b> of colors.,The toy cars are available in an {{c1::array}} of colors.,"""<img src=""""4000EEW_B04_U05_1883.jpg"""" />""",[sound:4000EEW_B04_U05_1883.word.mp3],[sound:4000EEW_B04_U05_1883.definition.mp3],[sound:4000EEW_B04_U05_1883.example.mp3]
4000EEW_B04_U05_1884,blur,,[bləːr],v.,To <i>blur</i> is to make something unclear or difficult to see or remember.,The photographer can <b>blur</b> the bright lights into the background.,The photographer can {{c1::blur}} the bright lights into the background.,"""<img src=""""4000EEW_B04_U05_1884.jpg"""" />""",[sound:4000EEW_B04_U05_1884.word.mp3],[sound:4000EEW_B04_U05_1884.definition.mp3],[sound:4000EEW_B04_U05_1884.example.mp3]
4000EEW_B04_U05_1885,café,,[kæféi],n.,A <i>café</i> is a small restaurant where you can buy drinks and simple meals.,Monica works part-time at a <b>café</b>.,Monica works part-time at a {{c1::café}}.,"""<img src=""""4000EEW_B04_U05_1885.jpg"""" />""",[sound:4000EEW_B04_U05_1885.word.mp3],[sound:4000EEW_B04_U05_1885.definition.mp3],[sound:4000EEW_B04_U05_1885.example.mp3]
4000EEW_B04_U05_1886,canvas,,[kǽnvəs],n.,A <i>canvas</i> is a thick piece of cloth that artists use to paint on.,The artist paints bright colors on a <b>canvas</b>.,The artist paints bright colors on a {{c1::canvas}}.,"""<img src=""""4000EEW_B04_U05_1886.jpg"""" />""",[sound:4000EEW_B04_U05_1886.word.mp3],[sound:4000EEW_B04_U05_1886.definition.mp3],[sound:4000EEW_B04_U05_1886.example.mp3]
4000EEW_B04_U05_1887,cinema,,[sínəmə],n.,A <i>cinema</i> is a building in which films are shown.,My sister enjoys watching movies at the <b>cinema</b>.,My sister enjoys watching movies at the {{c1::cinema}}.,"""<img src=""""4000EEW_B04_U05_1887.jpg"""" />""",[sound:4000EEW_B04_U05_1887.word.mp3],[sound:4000EEW_B04_U05_1887.definition.mp3],[sound:4000EEW_B04_U05_1887.example.mp3]
4000EEW_B04_U05_1888,class,,[klæs],n.,<i>Class</i> is the way people in society are divided into different social and economic groups.,This upper-<b>class</b> family travels on a private jet.,This upper-{{c1::class}} family travels on a private jet.,"""<img src=""""4000EEW_B04_U05_1888.jpg"""" />""",[sound:4000EEW_B04_U05_1888.word.mp3],[sound:4000EEW_B04_U05_1888.definition.mp3],[sound:4000EEW_B04_U05_1888.example.mp3]
4000EEW_B04_U05_1889,distinctive,,[distíŋktiv],adj.,"When something is <i>distinctive</i>, it has a special quality, character, or appearance that is different and easy to recognize.",Olives have a <b>distinctive</b> flavor.,Olives have a {{c1::distinctive}} flavor.,"""<img src=""""4000EEW_B04_U05_1889.jpg"""" />""",[sound:4000EEW_B04_U05_1889.word.mp3],[sound:4000EEW_B04_U05_1889.definition.mp3],[sound:4000EEW_B04_U05_1889.example.mp3]
4000EEW_B04_U05_1890,key,,[kiː],adj.,"When something is <i>key</i>, it is extremely important.",Marco is a <b>key</b> player on the country’s national team.,Marco is a {{c1::key}} player on the country’s national team.,"""<img src=""""4000EEW_B04_U05_1890.jpg"""" />""",[sound:4000EEW_B04_U05_1890.word.mp3],[sound:4000EEW_B04_U05_1890.definition.mp3],[sound:4000EEW_B04_U05_1890.example.mp3]
4000EEW_B04_U05_1891,movement,,[múːvmənt],n.,A <i>movement</i> is a series of organized activities in which people work together to do or achieve something.,Booker T. Washington was a member of the civil rights <b>movement</b>.,Booker T. Washington was a member of the civil rights {{c1::movement}}.,"""<img src=""""4000EEW_B04_U05_1891.jpg"""" />""",[sound:4000EEW_B04_U05_1891.word.mp3],[sound:4000EEW_B04_U05_1891.definition.mp3],[sound:4000EEW_B04_U05_1891.example.mp3]
4000EEW_B04_U05_1892,practice,,[prǽktis],n.,A <i>practice</i> is something that is done often or regularly.,Samuel has made it a <b>practice</b> to read the newspaper every morning.,Samuel has made it a {{c1::practice}} to read the newspaper every morning.,"""<img src=""""4000EEW_B04_U05_1892.jpg"""" />""",[sound:4000EEW_B04_U05_1892.word.mp3],[sound:4000EEW_B04_U05_1892.definition.mp3],[sound:4000EEW_B04_U05_1892.example.mp3]
4000EEW_B04_U05_1893,realistic,,[rìːəlístik],adj.,"When something is <i>realistic</i>, it is shown as it is in real life.",Dorothy is painting <b>realistic</b> images of fish.,Dorothy is painting {{c1::realistic}} images of fish.,"""<img src=""""4000EEW_B04_U05_1893.jpg"""" />""",[sound:4000EEW_B04_U05_1893.word.mp3],[sound:4000EEW_B04_U05_1893.definition.mp3],[sound:4000EEW_B04_U05_1893.example.mp3]
4000EEW_B04_U05_1894,reflection,,[rifékʃən],n.,A <i>reflection</i> is an image that is seen in a mirror or other shiny surface.,The man stared at his <b>reflection</b> in the mirror.,The man stared at his {{c1::reflection}} in the mirror.,"""<img src=""""4000EEW_B04_U05_1894.jpg"""" />""",[sound:4000EEW_B04_U05_1894.word.mp3],[sound:4000EEW_B04_U05_1894.definition.mp3],[sound:4000EEW_B04_U05_1894.example.mp3]
4000EEW_B04_U05_1895,rule,,[ruːl],n.,A <i>rule</i> is an official instruction that says how things must be done or what is allowed.,Wearing a helmet while riding a bicycle is a <b>rule</b> in some cities.,Wearing a helmet while riding a bicycle is a {{c1::rule}} in some cities.,"""<img src=""""4000EEW_B04_U05_1895.jpg"""" />""",[sound:4000EEW_B04_U05_1895.word.mp3],[sound:4000EEW_B04_U05_1895.definition.mp3],[sound:4000EEW_B04_U05_1895.example.mp3]
4000EEW_B04_U05_1896,stroke,,[strouk],n.,A <i>stroke</i> is a single movement of a pen or brush when you are writing or painting.,The artist began with a yellow <b>stroke</b> on his painting.,The artist began with a yellow {{c1::stroke}} on his painting.,"""<img src=""""4000EEW_B04_U05_1896.jpg"""" />""",[sound:4000EEW_B04_U05_1896.word.mp3],[sound:4000EEW_B04_U05_1896.definition.mp3],[sound:4000EEW_B04_U05_1896.example.mp3]
4000EEW_B04_U05_1897,sunlight,,[sʌnlait],n.,<i>Sunlight</i> is the natural light that comes from the sun.,The <b>sunlight</b> shines through the trees.,The {{c1::sunlight}} shines through the trees.,"""<img src=""""4000EEW_B04_U05_1897.jpg"""" />""",[sound:4000EEW_B04_U05_1897.word.mp3],[sound:4000EEW_B04_U05_1897.definition.mp3],[sound:4000EEW_B04_U05_1897.example.mp3]
4000EEW_B04_U05_1898,traditional,,[trədíʃənl],adj.,"When something is <i>traditional</i>, it is based on old-fashioned ideas.",I prefer <b>traditional</b> furniture.,I prefer {{c1::traditional}} furniture.,"""<img src=""""4000EEW_B04_U05_1898.jpg"""" />""",[sound:4000EEW_B04_U05_1898.word.mp3],[sound:4000EEW_B04_U05_1898.definition.mp3],[sound:4000EEW_B04_U05_1898.example.mp3]
4000EEW_B04_U05_1899,unlike,,[ənlaik],prep.,<i>Unlike</i> is used in place of “completely different from a particular person or thing.”,"<b>Unlike</b> his older brother, Jim is short.","{{c1::Unlike}} his older brother, Jim is short.","""<img src=""""4000EEW_B04_U05_1899.jpg"""" />""",[sound:4000EEW_B04_U05_1899.word.mp3],[sound:4000EEW_B04_U05_1899.definition.mp3],[sound:4000EEW_B04_U05_1899.example.mp3]
4000EEW_B04_U05_1900,width,,[widθ],n.,<i>Width</i> is the distance from one side of something to the other side.,The man is measuring the <b>width</b> of the box.,The man is measuring the {{c1::width}} of the box.,"""<img src=""""4000EEW_B04_U05_1900.jpg"""" />""",[sound:4000EEW_B04_U05_1900.word.mp3],[sound:4000EEW_B04_U05_1900.definition.mp3],[sound:4000EEW_B04_U05_1900.example.mp3]
4000EEW_B04_U06_1901,anthem,,[ǽnθəm],n.,An <i>anthem</i> is a formal or religious song.,Everyone sings the national <b>anthem</b> before the baseball game starts.,Everyone sings the national {{c1::anthem}} before the baseball game starts.,"""<img src=""""4000EEW_B04_U06_1901.jpg"""" />""",[sound:4000EEW_B04_U06_1901.word.mp3],[sound:4000EEW_B04_U06_1901.definition.mp3],[sound:4000EEW_B04_U06_1901.example.mp3]
4000EEW_B04_U06_1902,beyond,,[biάnd],prep.,<i>Beyond</i> is used to say that one thing is more than another.,The job is <b>beyond</b> the man’s ability.,The job is {{c1::beyond}} the man’s ability.,"""<img src=""""4000EEW_B04_U06_1902.jpg"""" />""",[sound:4000EEW_B04_U06_1902.word.mp3],[sound:4000EEW_B04_U06_1902.definition.mp3],[sound:4000EEW_B04_U06_1902.example.mp3]
4000EEW_B04_U06_1903,determination,,[ditə̀ːrmənéiʃən],n.,<i>Determination</i> is what you have when you try to do something even when it is difficult.,"Chris is the youngest competitor, but he has the most <b>determination</b>.","Chris is the youngest competitor, but he has the most {{c1::determination}}.","""<img src=""""4000EEW_B04_U06_1903.jpg"""" />""",[sound:4000EEW_B04_U06_1903.word.mp3],[sound:4000EEW_B04_U06_1903.definition.mp3],[sound:4000EEW_B04_U06_1903.example.mp3]
4000EEW_B04_U06_1904,fighting,,[fáitiŋ],n.,"<i>Fighting</i> is physical conflict between people or groups in a war, in the street, etc.",Heavy <b>fighting</b> continued for days.,Heavy {{c1::fighting}} continued for days.,"""<img src=""""4000EEW_B04_U06_1904.jpg"""" />""",[sound:4000EEW_B04_U06_1904.word.mp3],[sound:4000EEW_B04_U06_1904.definition.mp3],[sound:4000EEW_B04_U06_1904.example.mp3]
4000EEW_B04_U06_1905,joint,,[dʒɔint],adj.,"When something is <i>joint</i>, it is done by or involves two or more people or groups.",Mike and Joanna are <b>joint</b> owners of a coffee shop.,Mike and Joanna are {{c1::joint}} owners of a coffee shop.,"""<img src=""""4000EEW_B04_U06_1905.jpg"""" />""",[sound:4000EEW_B04_U06_1905.word.mp3],[sound:4000EEW_B04_U06_1905.definition.mp3],[sound:4000EEW_B04_U06_1905.example.mp3]
4000EEW_B04_U06_1906,landing,,[lǽndiŋ],n.,A <i>landing</i> is when you return to the ground or another surface after a flight or a boat ride.,The man is in charge of leading the <b>landing</b> in the warzone.,The man is in charge of leading the {{c1::landing}} in the warzone.,"""<img src=""""4000EEW_B04_U06_1906.jpg"""" />""",[sound:4000EEW_B04_U06_1906.word.mp3],[sound:4000EEW_B04_U06_1906.definition.mp3],[sound:4000EEW_B04_U06_1906.example.mp3]
4000EEW_B04_U06_1907,mark,,[maːrk],v.,To <i>mark</i> is to celebrate an important event or time by doing something.,My grandparents are having a party to <b>mark</b> their 50th anniversary.,My grandparents are having a party to {{c1::mark}} their 50th anniversary.,"""<img src=""""4000EEW_B04_U06_1907.jpg"""" />""",[sound:4000EEW_B04_U06_1907.word.mp3],[sound:4000EEW_B04_U06_1907.definition.mp3],[sound:4000EEW_B04_U06_1907.example.mp3]
4000EEW_B04_U06_1908,mobilize,,[móubəlàiz],v.,To <i>mobilize</i> is to prepare an army to fight in a war.,Thousands of soldiers were ready to <b>mobilize</b> for the fight.,Thousands of soldiers were ready to {{c1::mobilize}} for the fight.,"""<img src=""""4000EEW_B04_U06_1908.jpg"""" />""",[sound:4000EEW_B04_U06_1908.word.mp3],[sound:4000EEW_B04_U06_1908.definition.mp3],[sound:4000EEW_B04_U06_1908.example.mp3]
4000EEW_B04_U06_1909,nation,,[néiʃən],n.,A <i>nation</i> is a large area of land that is controlled by its own government.,India is a <b>nation</b> that is developing rapidly.,India is a {{c1::nation}} that is developing rapidly.,"""<img src=""""4000EEW_B04_U06_1909.jpg"""" />""",[sound:4000EEW_B04_U06_1909.word.mp3],[sound:4000EEW_B04_U06_1909.definition.mp3],[sound:4000EEW_B04_U06_1909.example.mp3]
4000EEW_B04_U06_1910,originally,,[ərídʒənəli],adv.,<i>Originally</i> is used in place of “in the beginning” or “when something first happened or began.”,This building was <b>originally</b> a bank.,This building was {{c1::originally}} a bank.,"""<img src=""""4000EEW_B04_U06_1910.jpg"""" />""",[sound:4000EEW_B04_U06_1910.word.mp3],[sound:4000EEW_B04_U06_1910.definition.mp3],[sound:4000EEW_B04_U06_1910.example.mp3]
4000EEW_B04_U06_1911,outbreak,,[autbreik],n.,An <i>outbreak</i> is a sudden start or increase of fighting or disease.,The scientists prepared for an <b>outbreak</b> of a dangerous virus.,The scientists prepared for an {{c1::outbreak}} of a dangerous virus.,"""<img src=""""4000EEW_B04_U06_1911.jpg"""" />""",[sound:4000EEW_B04_U06_1911.word.mp3],[sound:4000EEW_B04_U06_1911.definition.mp3],[sound:4000EEW_B04_U06_1911.example.mp3]
4000EEW_B04_U06_1912,pray,,[prei],v.,To <i>pray</i> is to speak to God in order to ask for help or to give thanks.,The girl likes to <b>pray</b> for world peace.,The girl likes to {{c1::pray}} for world peace.,"""<img src=""""4000EEW_B04_U06_1912.jpg"""" />""",[sound:4000EEW_B04_U06_1912.word.mp3],[sound:4000EEW_B04_U06_1912.definition.mp3],[sound:4000EEW_B04_U06_1912.example.mp3]
4000EEW_B04_U06_1913,prisoner,,[prízənər],n.,A <i>prisoner</i> is someone who is taken by force and kept somewhere.,He has been a <b>prisoner</b> for many years.,He has been a {{c1::prisoner}} for many years.,"""<img src=""""4000EEW_B04_U06_1913.jpg"""" />""",[sound:4000EEW_B04_U06_1913.word.mp3],[sound:4000EEW_B04_U06_1913.definition.mp3],[sound:4000EEW_B04_U06_1913.example.mp3]
4000EEW_B04_U06_1914,sacrifice,,[sǽkrəfàis],v.,To <i>sacrifice</i> is to give up something in order to get something you want or do something else for someone.,Karen has had to <b>sacrifice</b> a lot for her children.,Karen has had to {{c1::sacrifice}} a lot for her children.,"""<img src=""""4000EEW_B04_U06_1914.jpg"""" />""",[sound:4000EEW_B04_U06_1914.word.mp3],[sound:4000EEW_B04_U06_1914.definition.mp3],[sound:4000EEW_B04_U06_1914.example.mp3]
4000EEW_B04_U06_1915,silence,,[sáiləns],n.,<i>Silence</i> is the complete absence of sound or noise.,I can only sleep in complete <b>silence</b>.,I can only sleep in complete {{c1::silence}}.,"""<img src=""""4000EEW_B04_U06_1915.jpg"""" />""",[sound:4000EEW_B04_U06_1915.word.mp3],[sound:4000EEW_B04_U06_1915.definition.mp3],[sound:4000EEW_B04_U06_1915.example.mp3]
4000EEW_B04_U06_1916,thus,,[ðʌs],adv.,<i>Thus</i> is used in place of “as a result of something that was just mentioned.”,"Victor wants to lose weight; <b>thus</b>, he’ll go on a diet and start exercising.","Victor wants to lose weight; {{c1::thus}}, he’ll go on a diet and start exercising.","""<img src=""""4000EEW_B04_U06_1916.jpg"""" />""",[sound:4000EEW_B04_U06_1916.word.mp3],[sound:4000EEW_B04_U06_1916.definition.mp3],[sound:4000EEW_B04_U06_1916.example.mp3]
4000EEW_B04_U06_1917,tribute,,[tríbjuːt],n.,"A <i>tribute</i> is something that you say, do, or give in order to express respect for someone.","In some countries, people wear poppies as a <b>tribute</b> to veterans.","In some countries, people wear poppies as a {{c1::tribute}} to veterans.","""<img src=""""4000EEW_B04_U06_1917.jpg"""" />""",[sound:4000EEW_B04_U06_1917.word.mp3],[sound:4000EEW_B04_U06_1917.definition.mp3],[sound:4000EEW_B04_U06_1917.example.mp3]
4000EEW_B04_U06_1918,victory,,[víktəri],n.,"A <i>victory</i> is a situation in which you win a battle, game, election, or dispute.",The man was thrilled with his <b>victory</b>.,The man was thrilled with his {{c1::victory}}.,"""<img src=""""4000EEW_B04_U06_1918.jpg"""" />""",[sound:4000EEW_B04_U06_1918.word.mp3],[sound:4000EEW_B04_U06_1918.definition.mp3],[sound:4000EEW_B04_U06_1918.example.mp3]
4000EEW_B04_U06_1919,wild,,[waild],adv.,To be <i>wild</i> is to be without control.,Dandelions grow <b>wild</b> in the cracks of the streets.,Dandelions grow {{c1::wild}} in the cracks of the streets.,"""<img src=""""4000EEW_B04_U06_1919.jpg"""" />""",[sound:4000EEW_B04_U06_1919.word.mp3],[sound:4000EEW_B04_U06_1919.definition.mp3],[sound:4000EEW_B04_U06_1919.example.mp3]
4000EEW_B04_U06_1920,wound,,[wuːnd],v.,To <i>wound</i> is to injure someone or something by cutting or breaking the skin.,The boy knew he might <b>wound</b> his knees if he didn’t wear pads on them.,The boy knew he might {{c1::wound}} his knees if he didn’t wear pads on them.,"""<img src=""""4000EEW_B04_U06_1920.jpg"""" />""",[sound:4000EEW_B04_U06_1920.word.mp3],[sound:4000EEW_B04_U06_1920.definition.mp3],[sound:4000EEW_B04_U06_1920.example.mp3]
4000EEW_B04_U07_1921,assimilate,,[əsíməlèit],v.,To <i>assimilate</i> is to adopt the ways of a new culture and fully become a part of it.,When the family moves to the US they will <b>assimilate</b> into American culture.,When the family moves to the US they will {{c1::assimilate}} into American culture.,"""<img src=""""4000EEW_B04_U07_1921.jpg"""" />""",[sound:4000EEW_B04_U07_1921.word.mp3],[sound:4000EEW_B04_U07_1921.definition.mp3],[sound:4000EEW_B04_U07_1921.example.mp3]
4000EEW_B04_U07_1922,attempt,,[ətémpt],n.,"An <i>attempt</i> is an act of trying to do something, especially something difficult.",This is Ben’s second <b>attempt</b> to climb Mt. Everest.,This is Ben’s second {{c1::attempt}} to climb Mt. Everest.,"""<img src=""""4000EEW_B04_U07_1922.jpg"""" />""",[sound:4000EEW_B04_U07_1922.word.mp3],[sound:4000EEW_B04_U07_1922.definition.mp3],[sound:4000EEW_B04_U07_1922.example.mp3]
4000EEW_B04_U07_1923,case,,[keis],n.,A <i>case</i> is an example of a particular situation or of something happening.,"A deposit of $1,000 is required, but in this <b>case</b>, we will accept half.","A deposit of $1,000 is required, but in this {{c1::case}}, we will accept half.","""<img src=""""4000EEW_B04_U07_1923.jpg"""" />""",[sound:4000EEW_B04_U07_1923.word.mp3],[sound:4000EEW_B04_U07_1923.definition.mp3],[sound:4000EEW_B04_U07_1923.example.mp3]
4000EEW_B04_U07_1924,cease,,[siːs],v.,To <i>cease</i> is to stop doing something or to stop something happening.,The rain will <b>cease</b> in the afternoon.,The rain will {{c1::cease}} in the afternoon.,"""<img src=""""4000EEW_B04_U07_1924.jpg"""" />""",[sound:4000EEW_B04_U07_1924.word.mp3],[sound:4000EEW_B04_U07_1924.definition.mp3],[sound:4000EEW_B04_U07_1924.example.mp3]
4000EEW_B04_U07_1925,danger,,[déindʒər],n.,"<i>Danger</i> is the possibility that someone or something will be harmed, destroyed, or killed.",Smoking cigarettes is a <b>danger</b> to health.,Smoking cigarettes is a {{c1::danger}} to health.,"""<img src=""""4000EEW_B04_U07_1925.jpg"""" />""",[sound:4000EEW_B04_U07_1925.word.mp3],[sound:4000EEW_B04_U07_1925.definition.mp3],[sound:4000EEW_B04_U07_1925.example.mp3]
4000EEW_B04_U07_1926,devastating,,[dévəstèitiŋ],adj.,"If something is <i>devastating</i>, it causes great harm or damage to something or someone.",The tsunami had <b>devastating</b> effects on the seaside village.,The tsunami had {{c1::devastating}} effects on the seaside village.,"""<img src=""""4000EEW_B04_U07_1926.jpg"""" />""",[sound:4000EEW_B04_U07_1926.word.mp3],[sound:4000EEW_B04_U07_1926.definition.mp3],[sound:4000EEW_B04_U07_1926.example.mp3]
4000EEW_B04_U07_1927,diversity,,[divə́ːrsəti],n.,"<i>Diversity</i> is the quality or state of having many different forms, types, ideas, etc.",My company puts an emphasis on the importance on having cultural <b>diversity</b>.,My company puts an emphasis on the importance on having cultural {{c1::diversity}}.,"""<img src=""""4000EEW_B04_U07_1927.jpg"""" />""",[sound:4000EEW_B04_U07_1927.word.mp3],[sound:4000EEW_B04_U07_1927.definition.mp3],[sound:4000EEW_B04_U07_1927.example.mp3]
4000EEW_B04_U07_1928,earthquake,,[əːrθkweik],n.,An <i>earthquake</i> is a sudden shaking of a part of the Earth’s surface that often causes a lot of damage.,The <b>earthquake</b> caused the road to crack in multiple places.,The {{c1::earthquake}} caused the road to crack in multiple places.,"""<img src=""""4000EEW_B04_U07_1928.jpg"""" />""",[sound:4000EEW_B04_U07_1928.word.mp3],[sound:4000EEW_B04_U07_1928.definition.mp3],[sound:4000EEW_B04_U07_1928.example.mp3]
4000EEW_B04_U07_1929,endangered,,[indéindʒərd],adj.,"If something is <i>endangered</i>, it has become very rare and may eventually die out altogether.",The whooping crane is an <b>endangered</b> species.,The whooping crane is an {{c1::endangered}} species.,"""<img src=""""4000EEW_B04_U07_1929.jpg"""" />""",[sound:4000EEW_B04_U07_1929.word.mp3],[sound:4000EEW_B04_U07_1929.definition.mp3],[sound:4000EEW_B04_U07_1929.example.mp3]
4000EEW_B04_U07_1930,extinction,,[ikstíŋkʃən],n.,"<i>Extinction</i> is when a particular animal, plant, type of person, custom, skill, etc. stops existing.",The <b>extinction</b> of the dodo bird occurred in the 1600s.,The {{c1::extinction}} of the dodo bird occurred in the 1600s.,"""<img src=""""4000EEW_B04_U07_1930.jpg"""" />""",[sound:4000EEW_B04_U07_1930.word.mp3],[sound:4000EEW_B04_U07_1930.definition.mp3],[sound:4000EEW_B04_U07_1930.example.mp3]
4000EEW_B04_U07_1931,forever,,[fərevər],adv.,We use <i>forever</i> in place of “for all future time” or “for a very long time.”,Michelle and Tanya want to be best friends <b>forever</b>.,Michelle and Tanya want to be best friends {{c1::forever}}.,"""<img src=""""4000EEW_B04_U07_1931.jpg"""" />""",[sound:4000EEW_B04_U07_1931.word.mp3],[sound:4000EEW_B04_U07_1931.definition.mp3],[sound:4000EEW_B04_U07_1931.example.mp3]
4000EEW_B04_U07_1932,generally,,[dʒénərəli],adv.,We use <i>generally</i> in place of “in most cases” or “to most people.”,The suburbs are <b>generally</b> viewed as a good place to raise children.,The suburbs are {{c1::generally}} viewed as a good place to raise children.,"""<img src=""""4000EEW_B04_U07_1932.jpg"""" />""",[sound:4000EEW_B04_U07_1932.word.mp3],[sound:4000EEW_B04_U07_1932.definition.mp3],[sound:4000EEW_B04_U07_1932.example.mp3]
4000EEW_B04_U07_1933,genocide,,[dʒénəsàid],n.,<i>Genocide</i> is the deliberate murder of a whole group or race of people.,"As a result of the <b>genocide</b>, many children have been orphaned.","As a result of the {{c1::genocide}}, many children have been orphaned.","""<img src=""""4000EEW_B04_U07_1933.jpg"""" />""",[sound:4000EEW_B04_U07_1933.word.mp3],[sound:4000EEW_B04_U07_1933.definition.mp3],[sound:4000EEW_B04_U07_1933.example.mp3]
