Id,Mixed Meaning
4000EEW_B03_U23_1645,"<ul><li>When the sun is lighting up the sky outside, it's daytime. Most adults are at work during the daytime and come home at nighttime.</li><li>While daytime is defined as ""after sunrise and before sunset,"" it describes this time of day even on dark, gray, days, or in parts of the world that get limited sunlight during the winter. A more accurate way to think of daytime is the hours after you wake up in the morning and before you start to think about going to bed at night. When it's daytime where you are, it's nighttime on the opposite hemisphere of the Earth.</li></ul>"
4000EEW_B03_U23_1646,"<ul><li>Desperate means ""having lost all hope."" If you are desperate for food, it means you are starving, possibly about to die. If you are in a desperate situation, it means things are really, really bad.</li><li>Desperate, desparate, or despirate? The word desperate is misspelled often enough that it's the despair of English teachers. Both desperate and despair come from the same Latin verb as despair. Don't mix it up with disparate, a totally different word that means ""distinctive, different, various.""</li></ul>"
4000EEW_B03_U23_1647,"<ul><li>Something that's exhausting tires or fatigues you. An exhausting hike up the side of a mountain leaves you gasping for breath and so tired you need to sit down and rest.</li><li>Some things, like a rigorous workout or a difficult type of manual labor, are physically exhausting. Others are mentally exhausting, like a long argument with a friend or a tricky calculus exam. The adjective exhausting is rooted in the Latin exhaurire, ""draw off, take away, use up, or empty,"" which perfectly describes how you feel after an exhausting experience.</li></ul>"
4000EEW_B03_U23_1648,"<ul><li>When things fade, they gradually become less clear or more faint. When you wake up after having a strange dream, its details quickly begin to fade unless you write them down right away.</li><li>Dreams usually fade once you wake up, and sunlight begins to fade toward the end of the day. Sounds can fade too, as when the music you can hear from a passing car begins to fade as it moves down the road. Disappointments in life can make your hopes and dreams fade, and the smell of cut flowers will eventually fade as well. The Old French root word, fader, means ""weaken, wilt, or wither.""</li></ul>"
4000EEW_B03_U23_1649,"<ul><li>Fierce is ferocious and forceful, like a lion. When you are fierce, opponents fear you. Despite their loss, the talented JV team put up a fierce fight against the varsity squad.</li><li>Fierce comes from the Latin ferus 'wild animal.' It means strong, proud, dangerous and ready to roar. Fierce can also be used to mean intense. The family was known for their fierce pride. If you have a fierce work ethic, you don't rest until you finish the job. And a fierce storm can really devastate a community.</li></ul>"
4000EEW_B03_U23_1650,"<ul><li>When you gamble, you take a risky chance on something. When an entrepreneur invests her own money in her business, she gambles on its success.</li><li>If you approach a stray dog, you gamble on its friendliness, and if you turn down a high-paying job to take a more interesting position, you gamble on it eventually paying off. Another way to gamble is to buy a lottery ticket or place a bet on a poker hand: when you gamble like this, you play a game of chance, risking some amount of money. Gamble is from Old English gammlen, ""to play, jest, or be merry.""</li></ul>"
4000EEW_B03_U23_1651,"<ul><li>A lawn is an area of ground that's planted with grass. Your next-door neighbor might be so overly proud of his tidy lawn that he stands on it, glaring at the dandelions growing in yours.</li><li>Most lawns are neatly mowed — a lawn that's allowed to grow tall might more accurately be called a field,  especially if there are weeds or wildflowers mixed in with the grass. It's difficult to grow a lawn in places that don't get much rain, since it needs to be watered regularly to stay green and lush. Lawn was laune in the 1500s, meaning ""open space between the woods,"" from the Old French lande, ""heath, moor, or clearing.""</li></ul>"
4000EEW_B03_U23_1652,"<ul><li>When you clip grass or other plants, you mow it. If you realize your front lawn is taller than your dog, it might be time to mow it.</li><li>People with grassy lawns usually mow them throughout the growing season, keeping them neatly trimmed and green. Farmers mow some food crops and hay as well, when they're ready to be harvested, although they use different tools to do it, including a curved blade called a scythe. An old-fashioned meaning of mow is ""a stack of hay,"" or ""a place where hay is stored.""</li></ul>"
4000EEW_B03_U23_1653,"<ul><li>An outlaw is a criminal who's on the run. Historically, the word outlaw was used for Western criminals like Billy the Kid or Jesse James, not so much for contemporary drug lords or serial killers.</li><li>Because they didn't need to be arrested by a police officer or other official, pursuing outlaws was once a way to earn reward money. The outlaw figure became popular due to the almost romantic image of nonconformity they had — outlaws are common characters in Western books and movies. You can also use outlaw to mean ""ban or make illegal."" If you had your way, you might outlaw spinach, long lines, and stinky perfume.</li></ul>"
4000EEW_B03_U23_1654,"<ul><li>A prospect is the possibility that something fabulous will happen. After you graduate top of your class at Harvard, for example, your job prospects look great.</li><li>Prospect is from the Latin word  prospectus  which means a ""view or outlook."" A prospect is still a way of looking ahead and expecting good things. It's like potential in that it's something that might be but isn't yet. There is also the potential for something bad to happen, but prospects usually look good. In the 1800s, when men in floppy brown hats started saying ""There's gold in them there hills!"" the noun became a verb — to prospect is to search for gold. Either way, when you have prospects, you have a golden future.</li></ul>"
4000EEW_B03_U23_1655,"<ul><li>Though purses are mostly carried by women, this is the kind of purse anyone would love to bring home: it's a prize, usually consisting of money.</li><li>The most common meaning of purse, as a woman's bag, can definitely help you remember the ""prize"" meaning of purse, because a woman who won a purse could carry her winnings in a purse. The non-bag type of purse is usually associated with sporting events: boxers and jockeys win purses. Other times, purse is used to describe money won in another context, like a photography contest. Another meaning is totally different: if you pucker or contract your lips, you're pursing them.</li></ul>"
4000EEW_B03_U23_1656,"<ul><li>A rod is a bar or a stick, like the curtain rods in your windows or the steel rods inside the structure of a building that help make it sturdy.</li><li>A rod can be a staff, like a walking stick, or a metal bar used in construction projects. In tarot card decks, rods are are a suit that's also known as ""wands"" or ""batons."" You fish with a rod too, a long flexible pole. Most parents today disagree with the old-fashioned saying, ""Spare the rod and spoil the child,"" which basically means ""your kid will be spoiled if you don't hit them with a stick now and then.""</li></ul>"
4000EEW_B03_U23_1657,"<ul><li>If you seldom see your grandmother because she lives far away, you might be grateful for the opportunity to visit her over the summer. Use the adjective seldom to refer to things that don't happen very often.</li><li>A near synonym is rarely. Seldom is a Middle English word, from Old English seldum, a spelling alteration of seldan ""strange, rare."" In Old English, the spelling seldum came about by analogy with forms such as Old English hwilum ""formerly, at one time,"" from hwil ""time, while.""</li></ul>"
4000EEW_B03_U23_1658,
4000EEW_B03_U23_1659,"<ul><li>When you're terrified, you're so scared you can hardly move. Some people keep fuzzy spiders as pets, and others are truly terrified of them.</li><li>Certain situations cause almost anyone to be terrified: nearly falling off a tall building, seeing someone you love get very sick, or being chased down a dark alley by a lumbering monster. Other things that make you feel terrified might be your individual fears, such as speaking in public or riding in elevators. When you're terrified, you're full of terror, or a panicked fear. The root word is Latin, terrificare, which means ""to frighten.""</li></ul>"
4000EEW_B03_U23_1660,"<ul><li>A wizard is a kind of magician. A wise man who can perform magic spells in a fairy tale or fantasy novel is often described as a wizard.</li><li>One of the most famous fictional wizards is Harry Potter, who first learns of his magical abilities when Hagrid says, ""Harry — yer a wizard."" Sometimes wizards are described as male versions of witches, while other stories use the term as a gender-neutral name for anyone with magical powers. Colloquially, you might call someone a wizard if they're truly amazing at what they do (even if it's not magic): ""She's a wizard at dog training!""</li></ul>"
4000EEW_B03_U24_1661,"<ul><li>If you study abroad in your junior year of college, you are going to school in another country. Use abroad when you are talking about going to or from a place across an ocean.</li><li>Abroad really just means in a different country, but it is almost always used interchangeably with ""overseas."" You almost never hear an American say, ""She lives abroad; she's studying in Canada."" You might be eager to take a trip abroad. If so, get your passport ready. They won't let you board a plane going abroad without one.</li></ul>"
4000EEW_B03_U24_1662,"<ul><li>An airline is a company that owns and operates a fleet of planes. You might pick an airline for your trip to Hawaii based on who sells the least expensive tickets.</li><li>The airline is the business that maintains airplanes for commercial and business travel. Some people have a strong preference for one airline over another — you may enjoy flying with the airline that provides homemade cookies to its passengers, for example. Baggage handlers, flight attendants, and pilots all work for an airline. The original, 1813 meaning of airline was quite different: ""a straight line between two points on the earth's surface.""</li></ul>"
4000EEW_B03_U24_1663,"<ul><li>An audience can be people watching a performance, or an opportunity to speak with someone important, like an audience with your favorite actor at a ""meet and greet"" event.</li><li>The noun audience can describe all the people watching a performance, or the part of the general public interested in a specific type of information or entertainment. For example, the audience for a show about raising children might be parents or other care-givers. Finally, an audience can be a meeting or interview, like an audience with your school's principal.</li></ul>"
4000EEW_B03_U24_1664,"<ul><li>The table you bought at a yard sale for five dollars might seem like a bargain until you get it home and realize it only has three legs. A bargain is a good deal.</li><li>Inexpensive items are one type of bargain, and another kind of bargain is an agreement you make with someone — a deal or compromise. Two countries might strike a trade bargain, or you could make a bargain with your friend that you'll drive to the mall if she buys you a giant cinnamon roll. Bargain also means to negotiate the details of a purchase, which makes sense because the root word is bargaignier, French for ""haggle over the price.""</li></ul>"
4000EEW_B03_U24_1665,"<ul><li>Something brief is short and to the point. If you make a brief visit, you don't stay long. If you make a brief statement, you use few words. If you wear brief shorts, you are showing a little too much leg.</li><li>As a noun, a brief is a condensed summary or abstract, especially a legal summary of a case. Lawyers submit pretrial briefs to the court outlining the witnesses for the prosecution or defense. As a verb, brief means to give essential information to someone — like the President gets briefed on important matters.</li></ul>"
4000EEW_B03_U24_1666,"<ul><li>Currency is the paper and coin money that a country uses to conduct business. The United States uses a currency that's made up of dollars, quarters, nickels, dimes, and pennies.</li><li>Just about every country has its own currency — the money its people use to pay for their groceries, clothes, and other goods. Paper currency in the United States is all green and can confuse people who use bills with different colors for different denominations. In addition to describing a country's monetary system, currency means something that is accepted or used. The slang word ""daddy-o"" was the currency in the 1950s, but people who say it today can expect to receive strange looks.</li></ul>"
4000EEW_B03_U24_1667,"<ul><li>Data is information such as facts and numbers used to analyze something or make decisions. Computer data is information in a form that can be processed by a computer.</li><li>Data is the plural of Latin datum, ""something given."" In scientific use, the word data is often considered to be a plural noun meaning ""pieces of information"": The data are reliable. But most people think of data as a mass noun meaning ""information"" and use the word with a singular verb and pronoun: The data is reliable because it was tested by experts.</li></ul>"
4000EEW_B03_U24_1668,"<ul><li>Domestic generally means relating to someone's family, home, or home country. Domestic work is work done in the home — a domestic is someone who works in a home, such as a nanny or a maid.</li><li>Domestic is also used to refer to products that are produced in your country, or policies and affairs that relate to your country. And domestic animals, such as cats and dogs, are used to living with people. Domestic derives from Middle English, from Old French domestique, from Latin domesticus, from domus, ""house.""</li></ul>"
4000EEW_B03_U24_1669,"<ul><li>Draft means to draw, both in the sense of sketching an image onto paper, but also in terms of pulling — a draft horse draws a wagon, a draft of air is drawn into your lungs when you take a breath.</li><li>A cold draft is a current of cold air being drawn indoors. To draft someone into the army means to draw them into service, or make them serve. When you are drafting, or writing, a draft of a paper on the military draft in the U.S., you want to let your ideas flow freely. Then, in your next draft, you can work on filling in holes and edit the language down to what you really want to say.</li></ul>"
4000EEW_B03_U24_1670,"<ul><li>Gather is a verb with many related meanings, most involving drawing together or assembling something. You may gather your socks into the laundry bag, or you may gather your thoughts by making a list.</li><li>Gather often is used to describe bringing people together for some purpose, like the students who gather in the hallway awaiting an announcement. Gather can also refer to an increase or gain, like when you gather speed and go faster on your bike. Gather can describe coming to a conclusion or an understanding. After listening to your brother's comments and watching him pack up his video games, you may gather that he isn't going to be around for dinner.</li></ul>"
4000EEW_B03_U24_1671,"<ul><li>A hobby is an activity that you do in your spare time for fun. Your hobby may be putting together model train sets and driving your mom crazy from all the noise.</li><li>In the 13th century the word hobby referred to a small horse or a pony. It later came to describe a toy horse — a hobbyhorse. It’s from the hobbyhorse that the word’s modern sense of “favorite pastime” evolved. A hobby is something that you do for fun — not money — and you typically do it fairly regularly. Collecting stamps, growing roses, reading — any of these can be hobbies.</li></ul>"
4000EEW_B03_U24_1672,"<ul><li>What could be simpler than to remember that income basically refers to money that ""comes in,"" or is earned. Your income is the money you make in a given time period, for example weekly, monthly, or annually.</li><li>Your income might come from many sources — salary, investments, interest or annuities. Today income is used as a noun, but the Old English word incuman was first a verb that meant ""to come in,"" and referred to the money earned through one's labor or business dealings. The first income tax was attempted in Britain in 1404, but was so unpopular it was ended. In the United States, the Federal Income Tax became law in 1913, and, unfortunately, is still in effect.</li></ul>"
4000EEW_B03_U24_1673,"<ul><li>A jet is an airplane that can rapidly travel long distances. To jet is the act of getting somewhere quickly, by jet or any other way, as in, ""Do you see what time it is? We better jet!""</li><li>A jet is an aircraft that gets its power from jet engines rather than propellers. Jets are fast — that's probably why as a verb, jet means ""to move quickly,"" either by taking a jet, like the celebrities who jet around the world, or the more ordinary ""if I don't jet, I'll be late for school."" Dishwashers and certain kinds of tubs have jets, tiny openings that push water out with great force. The streams of water are also called, you guessed it, jets.</li></ul>"
4000EEW_B03_U24_1674,"<ul><li>Both a noun and an adjective, maximum takes it to the max: it means the most, the fastest, the biggest.</li><li>""The most you can have is the maximum"": that's the noun. In ""the maximum amount is the most you can have,"" it's used as an adjective. You might be familiar with the shortened version of the word: the ""max."" If you take something ""to the max,"" you're doing as much of it as possible. You take it to the limit. You take it to the maximum.</li></ul>"
4000EEW_B03_U24_1675,"<ul><li>Official is the real deal. If you want the latest news from Graceland, check the official Elvis Presley website. But you’ll have to look elsewhere to find the unofficial, unapproved, and highly unlikely scoop on Elvis sightings.</li><li>If something is official, it's authorized and approved by somebody. If Gatorade is the official drink of the Olympics, somebody with authority has signed some papers and a deal has been made. When you're playing soccer or other sports, the official is the person who makes the calls; he referees (or officiates) the game.</li></ul>"
4000EEW_B03_U24_1676,"<ul><li>If you recommend a person or thing is to vouch for them. Recommend can also be to advise. If your doctor recommended an exercise program to you that's changed your life, you might recommend your doctor to your friends.</li><li>Recommend is connected to the verb commend ""to praise."" They are both spelled with one c and two m's, reflecting the prefixes re- and com-. These verbs overlap in some uses: you can  recommend or commend an applicant for employment. But commend is used for special or public praise: ""He was commended for bravery.""</li></ul>"
4000EEW_B03_U24_1677,"<ul><li>If you refer to something, you consult it. To check your spelling, you refer to a dictionary. If you want to know when your spring break starts, you can refer to your class schedule.</li><li>Refer is made up of two very useful Latin roots: re- ""back"" and ferre ""carry,"" and when one thing refers to another, one meaning “carries back” to the other — there’s some kind of connection. ""The term “Spaghetti Western” refers to a kind of Western often filmed in Italy by Italian filmmakers, in Italian."" If you have a mysterious rash, your doctor might refer you — send you — to an allergist.</li></ul>"
4000EEW_B03_U24_1678,"<ul><li>Remote describes something far, far away, like a campsite way out in the woods, a distant planet, or the chance you'll win the lottery.</li><li>The Australian outback is remote, since it's hard to get to and there aren't many people there. It's also remote in the sense that it's far away from civilization. Someone with a faraway look in her eye, not answering your questions is also remote. Remote can describe something unlikely, like that lottery win. You might win, but your chances are so remote you shouldn't count on it.</li></ul>"
4000EEW_B03_U24_1679,"<ul><li>If something is sleepless, it's wakeful or restless, like a sleepless night spent in an unfamiliar house listening to spooky noises.</li><li>You might be sleepless the night before an exciting trip, or sleepless in your sleeping bag because the ground feels cold and hard beneath you. Whenever sleep won't come—because of worry, excitement, or discomfort—you can describe yourself (and the night) as sleepless. It's used in a literary way as well, to mean ""restless"" or ""constantly moving,"" like a sleepless willow tree swaying in the breeze.</li></ul>"
4000EEW_B03_U24_1680,<ul><li>Volume can mean how much space something takes up. You could measure a bean's volume by placing it in water and measuring the water's rise.</li><li>You can also use volume as you measure sound or the number of books in a series. Your mom might demand that you turn down the volume on your stereo as she reaches for the next volume of Dante's Divine Comedy. She would rather read about Hell in silence.</li></ul>
4000EEW_B03_U25_1681,"<ul><li>To circulate is to move continuously in a specific circuit, often in a circle. A ceiling fan circulates cool air around the room on a warm day.</li><li>Blood circulates through your body, pumped from your heart through veins and arteries — your circulatory system — and delivering oxygen to your tissues. This system is closed, meaning the blood stays in your body, bringing oxygenated blood back to your heart. People circulate when they move around a room at a party, chatting with different people, and rumors circulate when they're passed in a circle, from person to person. Circulate comes from the Latin circulare, ""to form a circle.""</li></ul>"
4000EEW_B03_U25_1682,"<ul><li>Something that happens as a result of something else can be described as consequent. Rapidly melting snow often causes consequent flooding, for example.</li><li>A politician might talk about raising the minimum wage and consequent improvements in workers' lives — in other words, she believes the positive changes for workers would be a direct result of higher minimum pay. One thing would follow the other. You're most likely to come across the adjective consequent in formal speech or writing. The Latin root word is consequi, ""to follow after.""</li></ul>"
4000EEW_B03_U25_1683,"<ul><li>If you want to talk about something that comes from something else, but you want to sound sophisticated and maybe financial or scientific, use derive, like so: That scent? It's derived from a solution of roses boiled with toothpicks.</li><li>The word derive derives from (see how we did that?) the Latin rivus or stream, as in water. That image of the stream may help you remember the meaning of derive; you may picture tracing tiny streams back to their main source. Derive is a verb, as you can see, but it's often in the news in the noun form derivative: something that is derived from something else, as in ""juice is a derivative of an orange.""</li></ul>"
4000EEW_B03_U25_1684,"<ul><li>The verb drown means to die from inhaling water into the lungs and being unable to breathe. It is possible to drown in even a small amount of water, so it's important to learn proper water safety.</li><li>You can also use this verb with a direct object: for example, a flash flood might drown animals that live near a river.  You can drown things in a less literal way as well. If you drink alcoholic beverages to forget your troubles, for example, you can say you're trying to ""drown your sorrows."" If you're submerged in a tidal wave of school assignments, then you are ""drowning in work.""</li></ul>"
4000EEW_B03_U25_1685,"<ul><li>A dynasty is a series of leaders in the same family, like the British Royal Family, or a local business dynasty, in which four generations have made their fortune at the family store.</li><li>The word dynasty, pronounced ""DIE-nas-tee,"" comes from the Greek word dynasteia, meaning ""power, lordship, sovereignty."" If you are part of a dynasty, you probably do have power — and also wealth, privilege. But there is also pressure to achieve as much as your parents, grandparents, and other relatives. Another kind of dynasty is found in sports — a team that wins many championships is a dynasty.</li></ul>"
4000EEW_B03_U25_1686,"<ul><li>A fraction is a part of a whole. If two of you split the take from a bank heist, you would each get half. If you had a getaway driver, then the money would be split three ways, into fractions of one-third each.</li><li>The quotient of two numbers is called a fraction, as is the action of performing division. Most of us, however, think of a fraction as a small part of an item — as in: ""You only use a fraction of your actual brain power in the course of your life."" Just think of a whole as a pie, and a fraction as a slice of that pie.</li></ul>"
4000EEW_B03_U25_1687,"<ul><li>Frost is a thin, icy coating that forms on very cold, damp nights. During a New England winter, you'll have to scrape frost off your car windshield almost every morning.</li><li>Frost is made of tiny crystals of ice that appear white and tend to form on windows, the ground, trees, and cars. While frost can be lovely on a window, with its snowflake shapes and patterns, it can also be dangerous for farm crops if it forms unexpectedly early or late in the year. Frost comes directly from the Old English, and it has a Proto-Germanic root.</li></ul>"
4000EEW_B03_U25_1688,"<ul><li>An illusion is something that isn't real. It may look real, but it's actually fake — just a crafty construction or fantasy. Like the old rabbit-out-of-the-hat trick practiced by magicians around the globe.</li><li>An illusion is an act of deception. Some optical illusions are pretty cool to watch, but an illusion can also point to an erroneous belief or false perception of reality, which is where you start getting into hallucination territory — seeing things that aren't there. You can give the illusion that you’re fascinated by your professor’s lecture by chewing on your pencil, furrowing your brow, and making sure to nod enthusiastically every so often.</li></ul>"
4000EEW_B03_U25_1689,"<ul><li>When you Invade, you aggressively take over or occupy a place. If a country's leader wants to gain more land, the military might invade a neighboring country.</li><li>Not everything that invades is militaristic. Some things that invade are cultural, such as the phenomena of young, stylish people moving into a neighborhood that had never been thought of as cool before. In an instant, new restaurants and shops catering to the newcomers open and soon the area is overrun with people wearing, say, skinny jeans and complicated eyewear. Natives to the area lament, ""This place has been invaded by hipsters.""</li></ul>"
4000EEW_B03_U25_1690,"<ul><li>A lieutenant is a commissioned officer in the armed forces or the police who can take command if her higher-ups aren't around.</li><li>Lieutenant is pronounced ""loo-TEN-unt."" If you're confused about all those vowels, blame the French, because the word comes from the French words lieu, meaning ""place,"" and tenant meaning ""holding."" A lieutenant is someone who holds the place of authority for the person who really has it. If you start a super secret club, you should choose someone to be the lieutenant who can run meetings when you're not there.</li></ul>"
4000EEW_B03_U25_1691,"<ul><li>If it has to do with the ocean or sea, you can call it marine. Your friend in the U.S. Armed Services who is a Marine probably spends a lot of time near the ocean.</li><li>Marine life is everything that lives in the water: plants, fish, sharks, algae, crabs, seahorses, giant squid, and the list goes on and on. When you study things that live in or near the sea, you are either a marine biologist or just really excited about ocean life. If you work in a field that deals with the ocean, boats, sailors or the navy you could be, for instance, a marine meteorologist.</li></ul>"
4000EEW_B03_U25_1692,"<ul><li>Merit means ""worthiness or excellence."" If you receive a certificate of merit in school, you are being recognized for doing a good job. As a verb, merit means ""deserve."" Your certificate might merit a prominent place on your bulletin board!</li><li>You will often hear the phrases ""merit-based promotion"" and ""merit-based pay,"" which come up when employees are pushing against a system in which time on the job — and not job performance — determines when workers are promoted and how much they are paid. Using the word merit suggests impartiality and objectivity — such as when you swear off a prejudiced approach to something and vow to ""judge it on its merits.""</li></ul>"
4000EEW_B03_U25_1693,"<ul><li>A navy is a military force made up of boats and ships that are equipped for defense and fighting. If you always get seasick, you might think about joining an army instead of a navy.</li><li>During a war, a country's navy does the important job of protecting its shores, as well as attacking the enemy's coasts. A navy is made up of battleships, submarines, and smaller vessels, as well as planes that can land on aircraft carriers or on water. The color that's also called navy, a dark blue, was the original color of the British navy. The Latin root of navy is navis, ""ship.""</li></ul>"
4000EEW_B03_U25_1694,"<ul><li>The idea of polar suggests equal opposites. For example, the North and South Poles are at opposite ends of the planet, and both are equally glacial, or very cold, which, by the way,  is another meaning of polar.</li><li>The English word polar derives from the Latin polus and the Greek polos, which means ""axis."" (See the connection with the North and South Poles?) The discovery of polar bears was first recorded in the mid-18th century, while the idea of ""polar opposites"" came about in 1832. The adjective polar is also used to describe something vitally important, an idea that came from the importance of Polaris, the North Star, which has always been a voyager’s guide.</li></ul>"
4000EEW_B03_U25_1695,"<ul><li>A ray is a beam of light or radiation. Even on cloudy days, you sometimes see a ray of sunlight shine through the clouds.</li><li>In physics, a ray is a line or column of light, heat, or electromagnetic radiation (like an x-ray), while in math a ray is a line that passes through a specific point. A marine biologist would define a ray as a big fish that's related to sharks and has a wide, flat body and a long tail. The root of the first two kinds of rays is the Latin word radius, ""spoke"" or ""staff.""</li></ul>"
4000EEW_B03_U25_1696,"<ul><li>To resign is to quit or retire from a position. You can also resign yourself to something inevitable, like death — meaning you just accept that it's going to happen.</li><li>When people resign, they're leaving something, like a job or political office. Congressmen resign after a scandal. Coaches resign after a really terrible season. Regular folks simply resign when they're ready to go. In those cases, resign is a nicer way of saying quit. Being resigned is another sense of this word — it's a type of acceptance. If your team is losing 80-20, you might as well resign yourself to losing. That just means you aren't in denial.</li></ul>"
4000EEW_B03_U25_1697,"<ul><li>Suicide is killing yourself on purpose, dying at your own hand.  Some people kill themselves by accident, but that’s not suicide, it’s just clumsy and unfortunate.</li><li>The word suicide breaks down into the Latin words sui and caedere, which together translate to “kill oneself.”  However, not all suicides are about the final end of life.  For example, a righteous politician can commit political suicide by speaking publicly about an unpopular topic.  We call a person who has killed himself a suicide, and a police report might tell how many suicides happen in a city each year.</li></ul>"
4000EEW_B03_U25_1698,"<ul><li>To tremble is to quiver or shake without meaning to. Your hands probably tremble when you're nervous.</li><li>Trembling is a movement, but it's not one that anyone intends to make. Someone who is extremely scared or cold might tremble all over. Older people tend to tremble more often than younger people, sometimes because of serious disorders like Parkinson's disease. The root word of tremble is the Latin tremulus, ""trembling or tremulous."" Certain honey bees perform a wiggly, shivering movement called a ""tremble dance,"" which scientists believe inspires speedier nectar collection.</li></ul>"
4000EEW_B03_U25_1699,"<ul><li>The obvious meaning of underlying refers to something beneath something else. But the word carries a more subtle meaning, that of something hidden but important, something that shapes the meaning or effect of something else, without being explicit itself.</li><li>Consider the adjective underlying as referring to a ""subtext,"" which is something hidden. An example is sarcasm, when a person says one thing but means the opposite. In theater, an actor develops subtext for his or her character to establish an underlying reason for what that character says and does. Life is full of underlying reasons we do things. Worry over a grandparent's illness might be the underlying reason a child fails a test. (Then again, maybe she just didn't study.)</li></ul>"
4000EEW_B03_U25_1700,
4000EEW_B03_U26_1701,"<ul><li>After eating too many gingerbread cookies, she no longer fit into her uniform, so she had a seamstress alter it. It looked pretty much the same.</li><li>The verb alter can also mean to neuter or spay. Think of a cat that has just been spayed: the cat you pick up from the vet is the same cat that you dropped off there, only perhaps a little groggy and unable to reproduce. While the cat has been altered, it's not a different cat.</li></ul>"
4000EEW_B03_U26_1702,"<ul><li>If something's aside, it's not in the middle of things — it's off to the side, either literally or figuratively, as with the papers and books you push aside on the couch, to make room to sit.</li><li>When you ignore your conscience, you're pushing your best instincts aside. You can put money aside, to save it for the future. In a play, when an actor steps out of character and speaks directly to the audience, that's an aside. The expression ""all joking aside,"" means ""stop kidding around and get serious"" as in, ""All joking aside, you're not really going bungee jumping, are you?""</li></ul>"
4000EEW_B03_U26_1703,"<ul><li>Autumn is the season after summer, when leaves fall from trees. It's also the season when the days get shorter and colder, and everything turns brown and drab, but people like it anyway, for the cocoa and cider, probably.</li><li>Autumn is the third season of the year, coming after summer and before winter, and coinciding with the dropping of leaves from the trees as they go into a winter rest, which is why it's also called fall. We also use autumn metaphorically to talk about the seasons of a person's life, like that luminous older actress in the autumn of her career: she's not yet playing roles in nursing homes, but neither is she scampering around in bikinis.</li></ul>"
4000EEW_B03_U26_1704,"<ul><li>If you blend red and blue, you get purple. To blend is to mix together thoroughly. If you put this color in your hair, you'll blend with the people at a punk rock concert!</li><li>Used as a noun, the word blend means the thing you mixed together or the act of mixing something together. Purple is a blend of red and blue. When you see this word, picture the blender on your kitchen counter. If you use it to give ice cream, fruit and fruit juice a blend, it'll mix things together well to make a very tasty blend.</li></ul>"
4000EEW_B03_U26_1705,"<ul><li>To collapse means to fall over, cave in, or totally crumple. After finding out that the stock market has collapsed and your investments along with it, you'd probably collapse to the ground and sob uncontrollably.</li><li>From the Latin collapsus, meaning “fall together,"" comes our English collapse, a word that functions as both noun and verb. Empires collapse after revolutions, and your dog will eventually collapse from exhaustion if he keeps chasing his tail in circles. But if a company falls apart after the boss retires, or you have a total breakdown cramming for exams, that's a kind of collapse, too.</li></ul>"
4000EEW_B03_U26_1706,"<ul><li>When you crush something, you break it into tiny pieces or crumple it. If you crush the cans in your recycling bin, you'll make more room for more.</li><li>A train can crush a car that's stalled on the tracks, and a person can crush an insect between her fingers. A figurative meaning of crush is to subdue or stop, like when a military dictator's forces crush a rebel uprising. You can also use crush as a noun to mean ""an overwhelming number,"" like a crush of bodies on a packed subway car, or to describe infatuation, like your crush on your attractive neighbor, who also can be called your crush.</li></ul>"
4000EEW_B03_U26_1707,"<ul><li>A curve is an arched or bent shape, like the curve of a smiling mouth or the curve of a road that twists and turns as you drive along the coast.</li><li>As a noun, a curve can be any shape that deviates from being perfectly straight. You can trace a curve on a graph, throw an arcing pitch in baseball called a curve ball, or just admire the curves of the rolling hills in the distance. And as a verb, curve means to make or form this non-straight shape: ""When she's happy, my dog's tail curves up over her back.""</li></ul>"
4000EEW_B03_U26_1708,"<ul><li>Something disgusting is awful in a way that makes you want to throw up — it's really, really yucky. Nobody likes disgusting things.</li><li>Stepping in dog poo is disgusting — in other words, revolting and gross. Some people think spiders are disgusting; others find meatloaf disgusting; it just depends on what your tastes and tolerances are. If a politician is caught taking bribes, people say ""That behavior is disgusting!"" If your favorite team loses 20 games in a row, that might seem disgusting. Pretty much anything horrible, terrible, or nasty can be called disgusting.</li></ul>"
4000EEW_B03_U26_1709,"<ul><li>Most commonly found at the bottom of sinks and bathtubs across the globe, a drain is the hole through which water is carried away.</li><li>If it rains on the day you decided to go to the beach, you could say your plans went right ""down the drain."" When used as a verb, to drain means ""to gradually empty,"" whether it's a man-made lake that's got to go or some financial obligations putting a strain on your wallet. And that obnoxious guy who's sucking the life out of the party? He's a real drain too.</li></ul>"
4000EEW_B03_U26_1710,"<ul><li>To embrace something is to welcome it with open arms, hold, hug, accept completely. You might embrace your sweetheart, or even changes in technology.</li><li>Embrace is from the French verb embrasser, which started out meaning  ""to clasp in the arms"" (but now includes kissing). You embrace someone by giving her a giant hug, and when you embrace a new idea, it's like your brain gives it a hug. The noun and verb form are similar: If you embrace someone who isn't your sweetheart, you might get caught in an embrace. In Henry IV, Shakespeare writes about a really, really tight embrace: ""I will embrace him with a soldier's arm/That he shall shrink under my courtesy.""</li></ul>"
4000EEW_B03_U26_1711,"<ul><li>Wanting what someone else has and resenting them for having it is envy. If your best friend comes to school with the silver backpack you’d had your eye on all summer, you want to be happy for her, instead you feel bitter envy.</li><li>Envy comes from the Latin word invidere, which literally means “look upon.” You know when you say something funny or smart and someone gives you the evil eye? Envy all the way. Envy can be used as a noun or as a verb: Envy (noun) is the feeling you have when you envy (verb) what someone else has.</li></ul>"
4000EEW_B03_U26_1712,
