"Word","Soundmark","Explanation0","Example0","Equivalence0","Derivative0","Opposite0","Explanation1","Example1","Equivalence1","Derivative1","Opposite1","Explanation2","Example2","Equivalence2","Derivative2","Opposite2","Explanation3","Example3","Equivalence3","Derivative3","Opposite3","Category","Image","Audio","tags","deck"
"interminable","[ɪnˈtɜːrmɪnəbl]","【释】adj. 持续的，没完没了的 continuing for a very long time","【例】Students were all bored by the interminable lecture, which went an hour over the scheduled time.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-b8760ade-a0c643d4-a22e5def-aa381b5a-34a08b22.mp3]",,"GRE::新东方GRE佛脚词改"
"posture","[ˈpɑːstʃər]","【释】n. 态度，立场 state or condition at a given time especially with respect to capability in particular circumstances","【例】Upon seeing the downtrodden posture of the opposing team, the Little League Vikings knew they were going to win the football game before the game even began.",,,,"【释】v. 装腔作势 to assume an artificial or pretended attitude","【例】Adam postured supreme confidence during his date with the beautiful model, but his insecurity and low self-esteem still showed.",,,"【反】behave naturally",,,,,,,,,,,,,"[sound:youdao-97f0e1af-7c2a61b6-92050f5a-1c06e566-d6600bab.mp3]",,"GRE::新东方GRE佛脚词改"
"narcissism","[ˈnɑːrsɪsɪzəm]","【释】n. 自恋 egoism; egocentrism","【例】Carl's narcissism was his worst enemy because he believed that anyone who criticized him was a fool.","【选】self-flattery",,,,,,,,,,,,,,,,,,,,"[sound:youdao-c7f44793-85832c7f-2eb311a2-f49ebdb6-808f8e4f.mp3]",,"GRE::新东方GRE佛脚词改"
"substantiate","[səbˈstænʃieɪt]","【释】v. 证明 to prove the truth of (something)","【例】By citing data from nations where female scientists earn less than male counterparts, the author attempted to substantiate the claim that discrimination still exists.",,,"【反】disprove",,,,,,,,,,,,,,,,,,"[sound:youdao-e6b732f8-d54fc01e-2731609f-1a95ed4c-ecad47be.mp3]",,"GRE::新东方GRE佛脚词改"
"snare","[sner]","【释】n. 陷阱 a position or situation from which it is difficult to escape","【例】Great renown is frequently a snare for growing companies as they become obsessed with it and lose sight of what really matters at the heart of their business.",,,,"【释】v. 捕捉 to cause (something) to become caught in something","【例】Using a hidden trap, the hunter snared the rabbit and took it home for dinner.",,,,,,,,,,,,,,,,"[sound:youdao-5cd35696-a2b5d750-55953578-2bee8155-d825c9f1.mp3]",,"GRE::新东方GRE佛脚词改"
"forestall","[fɔːrˈstɔːl]","【释】v. 阻止 to stop (something) from happening","【例】David tried to forestall a breakup by apologizing to his girlfriend and buying her gifts.","【选】avert, prevent",,"【反】precipitate",,,,,,,,,,,,,,,,,,"[sound:youdao-59e46384-ee2b996d-7e1d4de0-c052e01f-d02d6516.mp3]",,"GRE::新东方GRE佛脚词改"
"beholden","[bɪˈhoʊldən]","【释】adj. 亏欠的 being under obligation for a favor or gift","【例】In Medieval Europe, serfs were beholden to their lords for the land that they were given to till.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-45d5a6ae-65e5aa2e-444eac73-2f8997fd-658c19e1.mp3]",,"GRE::新东方GRE佛脚词改"
"indebted","[ɪnˈdetɪd]","【释】adj. 感激的 owing gratitude or recognition to another","【例】Our modern view of the world and present exploration of the universe are profoundly indebted to Kepler and Newton's insights.","【选】beholden","【派】indebtedness（n. 受恩惠）",,,,,,,,,,,,,,,,,,,"[sound:youdao-f6519aca-54a82ac2-a31f4c0d-95970f0b-1dbaed19.mp3]",,"GRE::新东方GRE佛脚词改"
"impute","[ɪmˈpjuːt]","【释】v. 归罪于，归咎于 to say or suggest that someone or something has or is guilty of (something)","【例】Although Rick was just trying to help, bad motives were imputed to him.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-83c6fb1e-a52e3e51-6099c4f3-ed5784c7-69e4a92b.mp3]",,"GRE::新东方GRE佛脚词改"
"brazen","[ˈbreɪzn]","【释】adj. 厚颜无耻的，臭不要脸的 acting or done in a very open and shocking way without shame or embarrassment","【例】Viktor was brazen about cheating and openly looked up test answers on his phone.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-5632714c-5b548f28-03f36c32-ffbaba41-02fe71d0.mp3]",,"GRE::新东方GRE佛脚词改"
"nettle","[ˈnetl]","【释】v. 使…生气 to make (someone) angry","【例】Nettled by the poor customer service he received at Target, Larry took to twitter to tell all of his friends not to shop there anymore.",,"【派】nettlesome（adj. 烦人的）",,,,,,,,,,,,,,,,,,"<img src=""oxfordlearning-44768687-d9ce29b4-709cda75-6d3d0820-d718ae3d.jpg"">","[sound:youdao-b5b5218a-604211da-7474065c-c791fdde-9b010b9d.mp3]",,"GRE::新东方GRE佛脚词改"
"contemptuous","[kənˈtemptʃuəs]","【释】adj. 鄙视的 feeling or showing deep hatred or disapproval","【例】Galileo's writing is energetic and contains contemptuous attacks on lesser minds.","【选】disdainful","【派】contempt（n. 轻蔑）",,,,,,,,,,,,,,,,,,,"[sound:youdao-eafbe491-0d4bdcdd-65ed12a1-da458017-353f8049.mp3]",,"GRE::新东方GRE佛脚词改"
"objurgation","[ˈɑbdʒərˌgeɪʃən]","【释】n. 斥责，非难 a harsh rebuke","【例】The teacher's objurgation had no effect on the student, who continued being disruptive every day.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-93f03c59-7195829f-d01fcc26-97e81a0e-bea52901.mp3]",,"GRE::新东方GRE佛脚词改"
"nascent","[ˈnæsnt]","【释】adj. 初始的 beginning to exist","【例】During the nascent years of IBM, the company struggled due to the lack of interest in computers.","【选】budding, unformed",,,,,,,,,,,,,,,,,,,,"[sound:youdao-33b4b2d1-42941a3c-bb8dc30b-31040b3d-0c54f5ec.mp3]",,"GRE::新东方GRE佛脚词改"
"token","[ˈtoʊkən]","【释】n. 象征 something that signifies or evidences authority, validity, or identity","【例】The Harvard study suggested that long-term happiness is a token of positive human relationships.",,,,"【释】adj. 象征性的 done as an indication or a pledge","【例】On many television shows, actors with minority racial backgrounds are added as token characters to boost the show's diversity.",,,,,,,,,,,,,,,,"[sound:youdao-9ad5806c-a7423f9d-e92e8687-06c0d895-323eb78c.mp3]",,"GRE::新东方GRE佛脚词改"
"residual","[rɪˈzɪdʒuəl]","【释】adj. 剩余的，残留的 leaving a residue that remains effective for some time","【例】As the slug crawled across the pavement, it left a trail of residual slime pointing in the direction it came from.",,,,"【释】n. 剩余，残渣 the part that is left when the other people or things are gone, used","【例】An error had clearly occurred as the residual that remained after all preceding steps did not tally with the accounts recorded.",,,,,,,,,,,,,,,,"[sound:youdao-e1c54ae7-72550559-d6efa466-1053b125-c816e804.mp3]",,"GRE::新东方GRE佛脚词改"
"deft","[deft]","【释】adj. 灵巧的 able to do something quickly and accurately","【例】This biographer provides several family trees for reference, but the textual description of the family lineage is so deft that the charts are rather unnecessary.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-ffe6c20c-53f1c7ee-ed6bcf81-a892e018-732957d7.mp3]",,"GRE::新东方GRE佛脚词改"
"eloquent","[ˈeləkwənt]","【释】adj. 能说会道的，能言善辩的 having or showing the ability to use language clearly and effectively","【例】In 2004, Barack Obama gave an eloquent speech at the Democratic National Convention that brought hope and inspired millions for change in the USA.","【选】rhetoric",,,,,,,,,,,,,,,,,,,,"[sound:youdao-452f74de-8e9ccf41-08cebf9b-fc4e1b51-975682d2.mp3]",,"GRE::新东方GRE佛脚词改"
"adroit","[əˈdrɔɪt]","【释】adj. 灵巧的 very clever or skillful","【例】Some interactive computer games are so difficult and complex that only the most adroit player can master them.","【选】dexterous, nimble, skillful, defy, acumen","【派】maladroit（adj. 笨拙的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-f6fd8f18-10897482-1fbf6b13-bf1614a5-74b81550.mp3]",,"GRE::新东方GRE佛脚词改"
"plentiful","[ˈplentɪfl]","【释】adj. 慷慨的 giving or providing many desired things","【例】Agricultural jobs were plentiful in the rural town in the south, but few in the highly educated village deemed themselves worthy of these lower-paying positions.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-47810138-b19f6fc2-ac6da647-242847e5-93e91158.mp3]",,"GRE::新东方GRE佛脚词改"
"bountiful","[ˈbaʊntɪfl]","【释】adj. 丰富的 given or provided abundantly","【例】It was a bountiful harvest that produced record amounts of strawberries for the farm.","【选】fertile",,,"【释】adj. 慷慨的 liberal in bestowing gifts or favors","【例】Growing up, we loved spending the holidays at our grandparents' house because they were bountiful with presents.",,,,,,,,,,,,,,,,"[sound:youdao-54d2d3fd-4d66ca51-576b1b33-c6491970-2e3ff264.mp3]",,"GRE::新东方GRE佛脚词改"
"clearheaded","[ˈklɪrˈhedɪd]","【释】adj. 思路清晰的 having or showing an ability to think clearly","【例】The electronics store owner had a clearheaded understanding of how hard it would be to turn a profit.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-fa6fa1e4-3d69168c-f9a2211f-0547a640-54d3628b.mp3]",,"GRE::新东方GRE佛脚词改"
"interweave","[ˌɪntərˈwiːv]","【释】v. 混合 to mix or blend together","【例】Interweaving rock, pop, and experimental music, the Beatles were a groundbreaking band that remains highly influential.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-d6af1f3a-fd18c575-e2556ccf-7e059a41-1c64a880.mp3]",,"GRE::新东方GRE佛脚词改"
"impolitic","[ɪmˈpɑːlətɪk]","【释】adj. 不明智的 unwise","【例】“It would be impolitic to condemn the demands of the masses if you want to be re-elected,” the political advisor warned the representative.","【选】tactless",,,,,,,,,,,,,,,,,,,,"[sound:youdao-6205c62e-ef4c83e4-eb8c9c04-0a04f88a-541ec156.mp3]",,"GRE::新东方GRE佛脚词改"
"feeble","[ˈfiːbl]","【释】adj. 衰弱的，虚弱的 very weak","【例】Feeble from several round of chemotherapy, the elderly lady could not climb the stairs in her house and was forced to move to an elders' home.",,"【派】enfeeble（v. 使衰弱）",,,,,,,,,,,,,,,,,,,"[sound:youdao-0a21066a-0bd5cb50-03a850f2-fd1a2d32-6d038db5.mp3]",,"GRE::新东方GRE佛脚词改"
"prerogative","[prɪˈrɑːɡətɪv]","【释】n. 特权 a right or privilege","【例】The executive exercised his prerogative to buy stock options and invested most of his income into his own business.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-71dd7e4a-8b84bc9c-85e23cea-d5b52850-f7ef8240.mp3]",,"GRE::新东方GRE佛脚词改"
"vigilant","[ˈvɪdʒɪlənt]","【释】adj. 警惕的 carefully noticing problems or signs of danger","【例】It is paramount for a cycling tourist to be vigilant as situations that require a cyclist to be alert and keen-witted inevitably arise.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-cf35c8b9-a8bc8ec3-23ac8c72-de97124a-2772ac32.mp3]",,"GRE::新东方GRE佛脚词改"
"clumsy","[ˈklʌmzi]","【释】adj. 笨拙的 lacking dexterity, nimbleness, or grace","【例】The praying mantis is a clumsy creature that cannot walk straight and looks perpetually drunk.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-e60f53c9-ab933200-a14c8bb0-e54f1d7d-8e2f74d1.mp3]",,"GRE::新东方GRE佛脚词改"
"fringe","[frɪndʒ]","【释】adj. 次要的，边缘的，不重要的 something that is marginal, additional, or secondary to some activity, process, or subject","【例】The existence of ancient aliens is a fringe theory explaining the construction of ancient structures like the pyramids; it receives little support from mainstream scholars.","【选】marginal, peripheral",,"【反】center",,,,,,,,,,,,,,,,,"<img src=""oxfordlearning-7a4f7bbd-a6700efd-a37d3296-31a5cf99-18f4b17d.jpg"">","[sound:youdao-e0e0ab7f-8183e5c4-c69ef66c-d88d9287-c337b18b.mp3]",,"GRE::新东方GRE佛脚词改"
"denigrate","[ˈdenɪɡreɪt]","【释】v. 攻击，贬损 to attack the reputation of","【例】In recent years, carbohydrates have been denigrated by nutritionists as a primary contributor to Americans' weight problem.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-5e521e2a-e64ebd96-5c7f4e6d-4533e9d9-3151475b.mp3]",,"GRE::新东方GRE佛脚词改"
"implore","[ɪmˈplɔːr]","【释】v. 恳求，哀求 to ask or beg for (something) in a very serious or emotional way","【例】Having implored her parents for months, the three-year-old was ecstatic when she received a new Barbie doll for her birthday.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-311b0e40-ecd882f7-90207ad7-c327eac7-cd3a031b.mp3]",,"GRE::新东方GRE佛脚词改"
"supplicate","[ˈsʌplɪˌkeɪt]","【释】v. 恳求 to make a humble entreaty","【例】Seeking revenge for his conquered fiefdom, the petty lord supplicated the king for an army to help retake his land.","【选】entreat, solicit","【派】supplication（n. 恳求）",,,,,,,,,,,,,,,,,,,"[sound:youdao-354c450d-e77b84e2-48851642-2d03013b-f673df5a.mp3]",,"GRE::新东方GRE佛脚词改"
"willful","[ˈwɪlfl]","【释】adj. 固执任性的 refusing to change your ideas or opinions or to stop doing something","【例】There was conflict between the willful Ph. D. student and her advisor because the student refused to incorporate her professor's advice into the dissertation.",,,,"【释】adj. 故意的 done deliberately","【例】The willful alternation of his team's lineup during the games ensured a swift victory for the football manager.",,,,,,,,,,,,,,,,"[sound:youdao-f17409e2-4e4ff8c1-bcc12d96-093aabee-8f9a0cfe.mp3]",,"GRE::新东方GRE佛脚词改"
"entreaty","[ɪnˈtriːti]","【释】n. 恳求 a serious request for something","【例】Following international protocols, Mexico made an official entreaty to Nicaragua to return the escaped convicts.","【选】supplication","【派】entreat（v. 恳求）",,,,,,,,,,,,,,,,,,,"[sound:youdao-3ce2d18e-da2dd0f1-027ee2fc-156c4c0c-cbe6ad2f.mp3]",,"GRE::新东方GRE佛脚词改"
"notwithstanding","[ˌnɑːtwɪθˈstændɪŋ]","【释】prep. 尽管 prep. despite","【例】Notwithstanding the burnt rice, the dinner was a delicious success!",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-c09fdb76-5f2c6278-af5cb6fe-0415dfdd-d3ba3dd2.mp3]",,"GRE::新东方GRE佛脚词改"
"insipid","[ɪnˈsɪpɪd]","【释】adj. 无聊的 not interesting or exciting","【例】The soup was utterly insipid and can be best described as a bland concoction less flavorful than water.","【选】bland",,,,,,,,,,,,,,,,,,,,"[sound:youdao-236b92d6-d3630ef5-4686e189-c94edadb-271d2b9d.mp3]",,"GRE::新东方GRE佛脚词改"
"modish","[ˈmoʊdɪʃ]","【释】adj. 时髦的 fashionable or stylish","【例】Chanel has reached international fame for its clothing by setting the benchmark in modish design.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-5e3493e7-38a00cda-a17ba717-80aebed3-a9e3d4f3.mp3]",,"GRE::新东方GRE佛脚词改"
"salubrious","[səˈluːbriəs]","【释】adj. 有益健康的 making good health possible or likely","【例】For centuries, the locals have praised the salubrious benefits of the natural sulfur spa on joint pain, gout, and other ailments.",,,"【反】unhealthful",,,,,,,,,,,,,,,,,,"[sound:youdao-63f2b43d-5ee78a24-552a75da-bc91f46d-a4d6a381.mp3]",,"GRE::新东方GRE佛脚词改"
"treacherous","[ˈtretʃərəs]","【释】adj. 不可靠的，背叛的 not able to be trusted","【例】Sally is a treacherous girl who makes friends, then betrays them.",,,"【反】faithful","【释】adj. 危险的 marked by hidden dangers, hazards, or perils","【例】Without a guardrail, the road carved a treacherous path up the sheer sides of the mountain.",,,,,,,,,,,,,,,,"[sound:youdao-7dc45925-d7ec1057-702d2b91-181743e3-fcdcaca7.mp3]",,"GRE::新东方GRE佛脚词改"
"objectionable","[əbˈdʒekʃənəbl]","【释】adj. 令人反感的 causing people to be offended","【例】Suzie found the comedian's show objectionable due to his repeated jokes about genocides and famines.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-6050f7d8-fadbf035-f9b82707-319071a4-8858b51a.mp3]",,"GRE::新东方GRE佛脚词改"
"recrudesce","[ˌriːkruːˈdes]","【释】v. 复发 to break out or become active again","【例】After months in the cocoon, the caterpillar recrudesces as a butterfly and flies away from its former home.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-4ab66df9-1e1b7557-04d77207-b34b34c1-0a478283.mp3]",,"GRE::新东方GRE佛脚词改"
"tangible","[ˈtændʒəbl]","【释】adj. 可感知的，实实在在的 able to be touched or felt","【例】The gun they found in the suspect's house is tangible proof of his guilt, no one now doubts he is the murderer.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-271c687c-a5cf5ecb-1e4cc5d7-80318c21-7ea43cbf.mp3]",,"GRE::新东方GRE佛脚词改"
"nebulous","[ˈnebjələs]","【释】adj. 模糊的，不清楚的 not clear","【例】Frustrated with the nebulous plans “to get drinks sometime”, Willie made concrete arrangements with his friends to meet this Saturday.","【选】vague",,,,,,,,,,,,,,,,,,,,"[sound:youdao-0108b949-e740b4a1-3f677c13-f0538600-1c0fed4d.mp3]",,"GRE::新东方GRE佛脚词改"
"utter","[ˈʌtər]","【释】adj. 完全的 complete, absolute or entire","【例】If the sun turned into a supernova, it would cause the utter destruction of all life.",,,,"【释】v. 发出声音 to send forth as a sound","【例】During the moment of silence in memory of the armed forces, no one uttered a sound.",,,,,,,,,,,,,,,,"[sound:youdao-031102ce-91922d15-de4196a0-2c8ab651-1103ffa8.mp3]",,"GRE::新东方GRE佛脚词改"
"aberrant","[æˈberənt]","【释】adj. 不正常的 deviating from the usual or natural type","【例】Terry was usually polite, so his teachers regarded his loud conduct at the assembly as aberrant.","【选】anomalous",,,,,,,,,,,,,,,,,,,,"[sound:youdao-66c9df00-0f061558-98626533-1ddab21f-e2da8494.mp3]",,"GRE::新东方GRE佛脚词改"
"doom","[duːm]","【释】v. 注定（失败） to make certain the failure or destruction of","【例】From the beginning, the Belgian resistance to the movement of German troops doomed the German war plan to invade France in World War I.",,"【派】doomsday（n. 世界末日）",,,,,,,,,,,,,,,,,,,"[sound:youdao-6c27ed06-4bee4b49-035ffc5f-66f8f8a2-1e953a33.mp3]",,"GRE::新东方GRE佛脚词改"
"slender","[ˈslendər]","【释】adj. 缺少的，不足的 limited or inadequate in amount or scope","【例】The lawyer's closing remarks summed up the slender thread of evidence for the accused's guilt.",,,,"【释】adj. 窄的，瘦的 thin, very narrow or not wide","【例】Never before had the chef seen such delicate and slender noodles as the thin pasta that was typical of the Italian mountain village.",,,,,,,,,,,,,,,,"[sound:youdao-1801d3c5-56e49438-5fd29128-f5f3f814-9333ae4e.mp3]",,"GRE::新东方GRE佛脚词改"
"garner","[ˈɡɑːrnər]","【释】v. 收集 to collect or gather (something)","【例】The police department struggled to garner enough evidence to convict the murder suspect, and finally had to let him go.",,,,"【释】v. 通过努力获得… to acquire by effort","【例】The pop fan had garnered quite a collection of singers' autographs.",,,,,,,,,,,,,,,,"[sound:youdao-3840ee87-13d4f05f-7ae4ba86-6c28f242-b18ab32d.mp3]",,"GRE::新东方GRE佛脚词改"
"recruit","[rɪˈkruːt]","【释】v. 招募 to find suitable people and get them to join a company, an organization, the armed forces, etc.","【例】Ever in need of new troops, the army often recruits at local high schools and career fairs.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-f4f76c27-5774bfe3-a64f7313-41bb43ac-3500825e.mp3]",,"GRE::新东方GRE佛脚词改"
"provision","[prəˈvɪʒn]","【释】n. 预备，预先采取的措施 something that is done in advance to prepare for something else","【例】Mrs. Wenger had made provision for her retirement with early career investments and long-term insurance plans.",,,,"【释】n. 提供，供应 the act or process of supplying or providing something","【例】The provision of transport by the government in rural areas is usually scarce and sketchy, so you will be better off with your own car.",,,,,,,,,,,,,,,,"[sound:youdao-694945d7-76465a5f-5fd3a3dd-f574efe2-8ff1e088.mp3]",,"GRE::新东方GRE佛脚词改"
"prompt","[prɑːmpt]","【释】v. 促进，激起 to serve as the inciting cause of","【例】The economic crisis that hit Europe prompted Greece to default on its loans.",,,,"【释】adj. 敏捷的，迅速的 of or relating to prompting actors","【例】To make sure that the actors did not forget their lines, a staff member used prompt cards that listed the sentences for each actor.",,,,,,,,,,,,,,,,"[sound:youdao-85096da0-e8333f79-e7d883b8-00b1ceee-33bb5906.mp3]",,"GRE::新东方GRE佛脚词改"
"assail","[əˈseɪl]","【释】v. 批评，攻击 to attack or criticize (someone or something) in a violent or angry way","【例】David was assailed by doubts and questions about his future shortly after he quit his job.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-2265c3c2-061973d9-0a072fbd-6616fa82-1623a553.mp3]",,"GRE::新东方GRE佛脚词改"
"endow","[ɪnˈdaʊ]","【释】v. 赋予 to freely or naturally provide (someone or something) with something","【例】The Declaration of Independence states that all men are endowed with certain inalienable rights, such as “life, liberty, and the pursuit of happiness”.",,,,"【释】v. 捐赠 to give a large amount of money to a school, hospital, etc. , in order to pay for the creation or continuing support of (something)","【例】Upon Malcolm's death, Yale will be endowed with a billion-dollar donation from his estate.",,,,,,,,,,,,,,,,"[sound:youdao-81d1c21f-7e105848-1ed47503-e4670502-1159e5c9.mp3]",,"GRE::新东方GRE佛脚词改"
"intrude","[ɪnˈtruːd]","【释】v. 闯入 to come or go into a place where you are not wanted or welcome","【例】Thieves are more likely to intrude on your home if they think no one is there.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-02877081-53ecd6cf-8c847913-6ea8feec-d65965ed.mp3]",,"GRE::新东方GRE佛脚词改"
"designate","[ˈdezɪɡneɪt]","【释】adj. 指定的，选定的 chosen for a particular job but not officially doing that job yet","【例】When Tom Carney announced his retirement from the nightly news, Jon Powers became the replacement designate.",,,,"【释】v. 指定，指派 to officially choose (someone or something) to do or be something","【例】After donating millions of dollars to the presidential campaign, the wealthy dentist was designated the ambassador of Ecuador after an election victory.",,,,,,,,,,,,,,,,"[sound:youdao-066b8519-967bd204-c34cd490-07f0f639-f7304bd0.mp3]",,"GRE::新东方GRE佛脚词改"
"tackle","[ˈtækl]","【释】v. 着手处理 to begin working on","【例】Having decided to tackle the chapters in order, the graduate student began writing the introduction to her thesis.",,,,"【释】v. 抓住并摔倒 to seize and throw (a person) to the ground","【例】When the running back broke free from the scrum, a safety dashed over to try to tackle the man with the football.",,,,,,,,,,,,,,,"<img src=""oxfordlearning-3ad95623-c83f19cf-e4e53006-d84c3425-4b4b577e.jpg"">","[sound:youdao-06c4e6f4-959ce625-c411df64-d69369d8-5f46ac6d.mp3]",,"GRE::新东方GRE佛脚词改"
"prosecute","[ˈprɑːsɪkjuːt]","【释】v. 从事 to engage in","【例】The advocacy group were less concerned with helping a party get elected than with prosecuting their own agenda.",,,,"【释】v. 起诉，检举 to bring legal action against for redress or punishment of a crime or violation of law","【例】Shoplifters will be handed over to the police and duly prosecuted in court.",,,,,,,,,,,,,,,,"[sound:youdao-b322c2ff-884b50c1-cca76a9e-b4f75651-447041e0.mp3]",,"GRE::新东方GRE佛脚词改"
"abolish","[əˈbɑːlɪʃ]","【释】v. 废除，废止 to officially end or stop (something, such as a law)","【例】During the Civil War, Abraham Lincoln abolished slavery in the USA.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-a96013d6-0a67d60e-90ea1999-40748241-a53d422c.mp3]",,"GRE::新东方GRE佛脚词改"
"bestow","[bɪˈstoʊ]","【释】v. 授予，给予 to give (something) as a gift or honor","【例】The Queen bestowed the Prime Minister with the privilege of governing the country.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-2d197e6a-b8345e70-f1701a3a-29bc84eb-058b8648.mp3]",,"GRE::新东方GRE佛脚词改"
"compile","[kəmˈpaɪl]","【释】v. 编辑 to collect and edit into a volume","【例】All of Shakespeare's sonnets have been compiled in a single volume for easy reference.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-c4cc851b-a51a427e-7b0489b8-005061f3-bae30dbc.mp3]",,"GRE::新东方GRE佛脚词改"
"requisite","[ˈrekwɪzɪt]","【释】adj. 必要的 needed for a particular purpose","【例】Mario is unable to advance to the next level in the video game until he collects the requisite number of mushrooms.","【选】essential",,,,,,,,,,,,,,,,,,,,"[sound:youdao-33127025-9943fd12-1f57a623-b776cf6c-8ec34448.mp3]",,"GRE::新东方GRE佛脚词改"
"splendor","[ˈsplendər]","【释】n. 光辉，壮丽 great and impressive beauty","【例】It is easy to spend hours staring at the natural splendor of Yosemite.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-154957d7-3e67a721-93f4603f-006cad08-b6b41c26.mp3]",,"GRE::新东方GRE佛脚词改"
"exempt","[ɪɡˈzempt]","【释】adj. 被免除的 not required to do something that others are required to do","【例】Because Big Brother/Big Sister is a nonprofit organization, it is exempt from paying taxes to the government.",,,,"【释】v. 免除 to say that (someone or something) does not have to do something that others are required to do","【例】The teacher exempted Chris from the weekly homework assignment after he was injured in a car crash.",,,,,,,,,,,,,,,,"[sound:youdao-5408f402-27d143ed-2d63caa0-9df3ade7-62771574.mp3]",,"GRE::新东方GRE佛脚词改"
"invoke","[ɪnˈvoʊk]","【释】v. 引述 to appeal to or cite in support or justification","【例】In most legal systems, the insanity defense is rarely invoked because it is difficult to prove someone's mental state.",,,,"【释】v. 恳求，祈求 to make an earnest request for","【例】When the immense Macedonian army invaded Greece, the Thebans invoked the name of Zeus and called on him to give them victory.",,,,,,,,,,,,,,,,"[sound:youdao-e0aa54ef-dcaa4023-0b91bbce-c295d387-b439e183.mp3]",,"GRE::新东方GRE佛脚词改"
"entrust","[ɪnˈtrʌst]","【释】v. 委托，托付 to give someone the responsibility of doing something or of caring for someone or something","【例】Upon her deathbed, the grandmother entrusted the family Bible to her oldest granddaughter in order to safeguard it for the future.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-3d977a1a-1482c259-8f288c71-292efb46-174d05b0.mp3]",,"GRE::新东方GRE佛脚词改"
"alliance","[əˈlaɪəns]","【释】n. 联盟，联合 the state of being joined in some activity or effort","【例】Microsoft and Google entered into an alliance to build superior hardware and combat the growing power of Apple.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-2fb31f81-eb5f91d5-9501e394-44a12c4a-a150a8be.mp3]",,"GRE::新东方GRE佛脚词改"
"periodical","[ˌpɪriˈɑːdɪkl]","【释】adj. 周期的 happening regularly over a period of time","【例】The periodical return of mosquitoes in summer time is the bane of an otherwise pleasant time of year.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-cf36a4be-6515450f-97fbd487-fd762b23-fa89457c.mp3]",,"GRE::新东方GRE佛脚词改"
"spacious","[ˈspeɪʃəs]","【释】adj. 宽敞的 having a large amount of space","【例】Although it is only a studio, the arrangement of the furniture helped make the apartment seem more spacious than it is.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-ec9976c2-6d7b8947-97612ebf-2a058f70-a80f75d7.mp3]",,"GRE::新东方GRE佛脚词改"
"eligible","[ˈelɪdʒəbl]","【释】adj. 合格的 able to be chosen for something","【例】Not all the students who apply for a scholarship are eligible to obtain one, since some do not meet the requirements.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-1a9cbe7f-f1b1dbcd-d994fe60-b9c7576c-23cd8d90.mp3]",,"GRE::新东方GRE佛脚词改"
"strenuous","[ˈstrenjuəs]","【释】adj. 费力的 requiring or showing great energy and effort","【例】Years of strenuous lifting of heavy furniture had left him too debilitated to be able to stand up for long periods of time.",,,,"【释】adj. 活跃的 vigorously active","【例】The “My Little Pony” message board was a forum for strenuous discussion, and visitors were startled by the heated tone of its debates.","【选】vigorous",,,,,,,,,,,,,,,"[sound:youdao-2b2ab3bd-839b8e9d-b8f91cbf-57885821-922e4927.mp3]",,"GRE::新东方GRE佛脚词改"
"adjacent","[əˈdʒeɪsnt]","【释】adj. 相邻的 close or near","【例】It was impossible to find my car in the parking lot because it had the same make, model, and color as all the adjacent cars.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-5d77a2b7-748c8ac1-109a9e7c-c8bf644a-b3342d4b.mp3]",,"GRE::新东方GRE佛脚词改"
