Word,Mixed Meaning
mere subsistence,
merely,"<ul><li>Merely means ""only."" If you say ""I was merely trying to help,"" your efforts were probably not appreciated and you're likely to be stalking off with your nose in the air.</li><li>Merely comes from the Latin merus, (""undiluted""). But ""undiluted"" is positive — as in, ""that's the undiluted truth"" — in a way that merely is not. When you use merely, it always has a negative, disapproving tinge to it: You might say, ""She was merely a minor player in that drama,"" but if you said, ""She was merely the star of the show,"" you would mean it ironically, since being the star is the most important role.</li></ul>"
merge,"<ul><li>The verb merge means to seamlessly join something. For example, when you merge onto the highway, you need to smoothly join the traffic, forgetting everything you learned riding the bumper cars at the fair.</li><li>If two or more things become one, they merge. If your favorite deli, The Cheese Stop, merges with a sandwich shop called Chez Lui, the two restaurants might also merge their names, becoming Chez Cheese. You can also use merge when things only appear to blend. You know it's time to go to sleep when the words in your book begin to merge together.</li></ul>"
merit,"<ul><li>Merit means ""worthiness or excellence."" If you receive a certificate of merit in school, you are being recognized for doing a good job. As a verb, merit means ""deserve."" Your certificate might merit a prominent place on your bulletin board!</li><li>You will often hear the phrases ""merit-based promotion"" and ""merit-based pay,"" which come up when employees are pushing against a system in which time on the job — and not job performance — determines when workers are promoted and how much they are paid. Using the word merit suggests impartiality and objectivity — such as when you swear off a prejudiced approach to something and vow to ""judge it on its merits.""</li></ul>"
meticulously,"<ul><li>If you clean your house meticulously, you take plenty of time and scour every single nook and cranny, maybe even behind the oven and under the doormat.</li><li>Meticulous means extremely careful and thorough, so if you do something meticulously, you are painstaking about doing it perfectly. Someone who would never leave her house with an un-ironed t-shirt or a thread hanging loose is someone who dresses meticulously. If your town historian documents every event, from births to remodeled living rooms, then she does her job meticulously, maybe a little too meticulously.</li></ul>"
microbe,"<ul><li>Microbe is a somewhat outdated way for scientists to talk about the tiny bugs that cause diseases. When you get the flu, you can blame a microbe.</li><li>In the nineteenth century, the idea that germs caused illness was brand new, and doctors referred to both germs and microbes interchangeably. The word microorganism is more scientifically precise, and in fact microbe is a shortened form of that long, Greek-rooted word. Mikro means ""small,"" and in microbe it's combined with bios, or ""life.""</li></ul>"
milestone,"<ul><li>A milestone is a significant event in your life. Often a milestone marks the start of a new chapter. For example, the day you graduated from high school was a milestone in your life.</li><li>Milestone literally refers to a roadside marker that lists the distance to a particular location. These days, the word is more often used figuratively to refer to significant events in life, like graduating from college or getting married. It acts sort of like the road sign: it's often a moment when you reflect on where you stand in life. A milestone can also be a nonpersonal event that results in a big change, such as a milestone victory or a company's sales milestone.</li></ul>"
milky way,
mimic,"<ul><li>A mimic is someone who is good at imitating others. A gifted mimic might be able to imitate one president after another just by minimally changing facial expression and manner of speaking.</li><li>Mimic, related to mime (""an entertainer who performs using gestures not speech""), can be traced back to the Greek mimeisthai, ""to imitate."" Usually when you mimic someone, you imitate them in order to make fun of them. Performers mimic famous people to get laughs, but ordinary people mimic others when they are angry at them. Who hasn't mimicked parents or a boss who has said no one too many times?!</li></ul>"
miniature,"<ul><li>Things that are miniature are teeny tiny versions of something else. Think miniature poodle. Unless you don't like small dogs. Then think miniature footballs. Aww, cute.</li><li>When something is a miniature, it is like it has been shrunk down in size. It's not just small, it's a small replica of something else. If you made a dollhouse that was a scale representation of your own house, it would be a miniature of your home. It would also be a little weird.</li></ul>"
minuscule,"<ul><li>When something is teeny tiny, it is minuscule. If your mother calls your miniskirt minuscule, it probably means she wants you to change into something a bit less revealing.</li><li>In minuscule, you see the word, minus, which means lesser. The word minuscule has its roots in the Latin expression minuscula littera, a phrase used to describe the smaller letters in text. In the late 1800s, the use of the word expanded to mean very small in general — so the definition of minuscule became less minuscule.</li></ul>"
minute,"<ul><li>Craftsmen can paint whole villages or detailed portraits of people on a grain of rice using minute, or tiny, paintbrushes. Often the works of art are so minute that you can only see them with a magnifying glass.</li><li>Minutus is the Latin word for ""small,"" and it gave rise to both the adjective minute (my-NOOT), or incredibly small, and the noun minute (MIN-it), or 60 seconds of time. Though they are pronounced differently, both words refer to small measurements. An object can be minute, like a flea compared with its dog, and less concrete things can be minute, like your minute chance of winning the lottery. A minute freckle on the side of your nose is a minute detail of your whole face.</li></ul>"
minutely,"<ul><li>Do something minutely and you'll do it in an attentive or meticulous, careful way. If you minutely edit your English paper, you'll be sure to catch every last mistake.</li><li>A detective might investigate a crime minutely, examining every possible clue in an intent way. Minutely can also modify an adjective, as in a minutely detailed news report or a minutely precise dollhouse version of Buckingham Palace. At the root of minutely is the Latin minutus, ""little, small, or minute.""</li></ul>"
mirror,"<ul><li>A mirror is a glass surface backed with a metallic coating that reflects images that are in front of it. When you gaze at yourself in a mirror, your own face gazes right back at you.</li><li>""Mirror, mirror on the wall, who's the fairest of them all?"" asks the evil queen in ""Snow White,"" as she admires her reflection. Ordinary mirrors can't answer this question, but they can show you how you look in your new hat or whether you have spinach between your teeth. And the verb mirror means ""reflect,"" as when the surface of a lake mirrors the sky.</li></ul>"
misconception,"<ul><li>A misconception is a conclusion that's wrong because it's based on faulty thinking or facts that are wrong. Your accusation about your brother's role in that unfortunate event at your party may be based on a misconception.</li><li>First appearing in the 1660s, the noun misconception comes from the prefix mis-, meaning ""bad, wrong,"" and the word conception, meaning ""act of conceiving."" A misconception usually results from incorrect thinking or a flawed understanding. Because they don't know the facts, many people have a misconception about how diseases such as AIDS are transmitted. It's a common misconception that Thomas Edison invented the light bulb, when, in fact, he didn't.</li></ul>"
misleading,
misunderstanding,"<ul><li>A misunderstanding is what happens when you don't comprehend something correctly. It's also another name for a disagreement, like the misunderstanding you and your sister had about whose turn it was to do the dishes.</li><li>The result of not clearly understanding someone or something is a misunderstanding. A misunderstanding between teammates can lead to dropped passes and lost points, and a misunderstanding of the pool rules can get you benched for doing a cannonball in the shallow end. You can also call a minor argument a misunderstanding.</li></ul>"
mock,"<ul><li>Imitation may be the most sincere form of flattery, but to mock is to make fun of or mimic someone with contempt, ridicule or derision. ""Louise’s favorite pastime was to mock her brother’s inability to sing on key.""</li><li>The verb mock — as in the use that inspired the name of the mockingbird — can be simple imitation but, more often, to mock someone is to show disdain through mimicry or parody.  As an adjective, mock indicates a fake or a simulation: ""The design team made the most fabulous mock Eiffel Tower for our staging of An American in Paris."" ""His mock gratitude was, at times, unbearable.""</li></ul>"
moderate,"<ul><li>A moderate voter is someone who is politically speaking, in the center. In other words, they are not quite left or right, but somewhere in the middle.</li><li>Moderate comes from the Latin for ""medium sized,"" and as a noun and an adjective it means ""middle, medium."" If you get moderate rainfall, it's not too much and not too little. Goldilocks was known for her moderate tastes. As a verb, it means ""to temper,"" or ""to reduce from the extreme."" If you moderate your speed while driving, you slow down a bit. If you moderate a discussion, you help two or more people have a reasonable conversation.</li></ul>"
mode,"<ul><li>You can describe the specific style of doing something as your mode.  If you're in vacation mode, for example, it might mean you say everything in a super-relaxed voice and spend all of your classes daydreaming.</li><li>From the Latin modus or ""manner,"" it has been popular since the 1400s.  Since the 1600s, people have been using it as another word for ""fashionable.""  The French term ""a la mode"" literally means ""in the fashion,"" or ""fashionable,"" but is more commonly used to describe as specific way of serving dessert (ice cream on the side).</li></ul>"
modest,"<ul><li>A person is modest if he or she is very successful but does not call attention to this.</li><li>Modest generally means ""big enough but not huge"" — like a modest house or a modest income. An ambitious person will not be satisfied with modest progress. Around the turn of the 17th century, modest referred to proper or decent dress and behavior especially in women. Although this is considered dated today, modest is still used for people who are shy about showing their body. If you are modest, you might wear your t-shirt when you swim.</li></ul>"
modestly,"<ul><li>To do something modestly is to do it in a humble way, without showing off. After her play's successful opening night, a playwright might choose to sit modestly in the audience rather than going on stage to bow.</li><li>When you act in an unpretentious way, you act modestly, and when you do something in the simplest way possible, you also do it modestly. The adjective modest can mean both ""humble"" and ""small."" Modesty and modest come from the Latin modestia, ""sense of honor,"" or ""correctness of conduct,"" from the root word modus, ""measure or manner.""</li></ul>"
modification,"<ul><li>A modification is a change or alteration, usually to make something work better.</li><li>If you want to change something — in other words, modify it — you need to make a modification. Lots of things require modification, because they get older or just because they can be improved. A car needs modification — in the form of snow tires — to be ready for the winter. Computer programs need modification all the time, because of new products or viruses. When you think of the word modification, think ""change.""</li></ul>"
modify,"<ul><li>To modify is to change or transform, but only slightly. If you miss your free-throws half the time, your coach will probably try to improve your shooting average by modifying your technique.</li><li>Modify may mean to alter something, but it's not a total makeover. When you modify or make modifications, you're making subtle changes. These tweaks are usually needed to make improvements or make the thing being modified less extreme. So you can modify your voice if your tone is too harsh, or modify your wardrobe with a few new pairs of cool shoes.</li></ul>"
momentous,"<ul><li>Momentous describes an important event or moment in time. It is used for a time of great consequence or for a major accomplishment, and is almost always reserved for good things.</li><li>When a moment is so great you know you'll never forget it, you have just experienced something momentous. It can be personal — perhaps the day you were named prom queen; or something historic — like the day Elizabeth was named Queen of England. Momentous and momentary share the root word moment but momentary describes just one fleeting moment in time. A momentary occurrence can certainly be momentous, but it's not always the case.</li></ul>"
monitor,"<ul><li>A monitor is a device or a person who watches or checks to see that all is going well. If you're babysitting, you might use a baby monitor so you can hear if the baby cries in its sleep.</li><li>Monitor can be used as a noun or a verb, both of which are concerned with watching over someone or something. A heart monitor displays the rhythm of your heart. A hall monitor is a person who checks to see that students aren't wandering the halls. If you are monitoring your grades, you are keeping track of them to see if they go up or down. And some parents buy a program that will monitor your Internet use, though you might think that this is an invasion of privacy.</li></ul>"
monopolize,"<ul><li>If you monopolize something, you won't let anyone else get their hands on it. When you were little, your mom might have said, ""Don't monopolize the swing. Let your sister have a turn.""</li><li>When a company monopolizes something, it has an unfair amount of control over a particular product or service, hurting other companies and giving consumers fewer choices. A business might monopolize the media in an entire state, for example, by owning the local newspapers, TV stations, and news websites. Monopolize comes from monopoly, which isn't just a great board game, but actually means ""exclusive control of a commodity or trade.""</li></ul>"
monopoly,"<ul><li>A monopoly is the exclusive ownership or control of something. If your sister claims a monopoly over the television during the Tom Cruise movie marathon, you would be wise not to touch that remote.</li><li>In economics, a monopoly specifically means the domination of a market by one owner or seller. Think of the board game Monopoly. You’re trying to own all the properties so that you have a monopoly over the board and the other players have to pay you basically anywhere they land. You might recognize the prefix mono, meaning “one."" Add it to the Greek word polein which means “sell,” and there you have it — one seller.</li></ul>"
monotone,"<ul><li>Monotone is a droning, unchanging tone. Nothing can put you to sleep quite as effectively as a teacher talking in a monotone.</li><li>The Greek word for ""one tone"" is monotonia, which is the root for both monotone and the closely-related word monotonous, which means ""dull and tedious."" A continuous sound, especially someone's voice, that doesn't rise and fall in pitch, is a monotone. When someone speaks in a monotone, his voice is flat and boring — plus listeners don't know how the speaker is feeling when everything sounds the same.</li></ul>"
monotonous,"<ul><li>When something goes on and on and on and on and on, the same way, for a long time, that's monotonous. Monotonous things are boring and repetitive, like that long story you've heard your brother tell a hundred times before.</li><li>Ever hear a song that just sounds like the same thing over and over? Ever hear a dog that keeps barking all day? Or a voice that's dull and unchanging in tone? All those things are monotonous: they don't change much, and they're dull as dishwater. Anything tedious or humdrum is probably monotonous. If someone says you're being monotonous, try to vary your tone of voice or the things you're talking about.</li></ul>"
monumental,"<ul><li>Whether it's a monumental effort requiring vast amounts of strength or a monumental cruise ship with eleven floors and five sets of elevators, the word monumental describes something imposing or massive in size.</li><li>Monumental can also refer to something that's of outstanding importance or significance. A monumental decision for you would be one that changes your life — like the day you got engaged or when you decided to move to New York to be an actor. The word monumental can also be used if you're talking about a monument, a statue or structure commemorating a person or event. You might admire the monumental stonework on the statue in the town square.</li></ul>"
moreover,"<ul><li>Use the adverb moreover to add information that supports what’s already been said. You have to go shopping on Saturday to buy new tube socks, and moreover, you need to get a birthday present for your mom.</li><li>Breaking moreover into more and over helps you remember what it means: more information over what has already been said. When you hear someone use moreover that tips you off that whatever follows is going to relate to what came before. You can think of moreover as a formal way of saying besides. You may be sick of your brother always getting out of doing the chores, and, moreover, the guy has a really bad attitude about taking on responsibility.</li></ul>"
motif,"<ul><li>The race car decor in your room, the refrain of a song, the idea or object that keeps popping up in a story — these are all motifs, reoccurring elements that move throughout and shape music, art and novels.</li><li>This French import is related to the Latin verb movere which means ""to move."" Think about a pattern or design that moves throughout something when you hear motif. Have you ever been to a restaurant with a tropical or Wild West motif? Do you like dresses with a floral motif? In novels, a motif can be a recurring idea like revenge or an object that symbolizes an idea. A character might notice shadows throughout a story which symbolize his dark past.</li></ul>"
mount,"<ul><li>To mount is to climb up something, like a ladder, or get on the back of something, like a horse. You can also mount something on another object, like a camera on a tripod or a sticker on a notebook.</li><li>The word mountain can help you remember that one way to mount is to climb. You can mount a mountain or a flight of stairs. You can also mount a pony by getting on its back or a bicycle by climbing onto it. The oldest meaning of mount is, in fact, ""mountain,"" from the Old French word mont, which has its root in the Latin montem for “mountain.""</li></ul>"
mundane,"<ul><li>An ordinary, unexciting thing can be called mundane: ""Superman hid his heroic feats by posing as his mundane alter ego, Clark Kent.""</li><li>Mundane, from the Latin word mundus, ""world,"" originally referred to things on earth. Such things were supposed to be uninteresting when compared to the delights of Heaven; hence the word's present meaning. Writing about reality TV shows, a Newsweek writer opined, ""In reality bizarro-world, the mundane is presented as the spectacular"" — in other words, people's everyday routines are now televised as entertainment.</li></ul>"
mutually exclusive,"<ul><li>Two things that can't happen at the same time, or that completely contradict each other, are mutually exclusive. If you tell your dad you want to go hiking and see a movie on Saturday, he might tell you those are mutually exclusive choices: you can pick only one.</li><li>You could say that war and peace are mutually exclusive, since by definition peace includes the absence of war or fighting. Some things that seem like they're mutually exclusive (like sunshine and rain) aren't really — it's possible for it to rain when the sun is shining. In math and statistics, there are numerous examples of things that are mutually exclusive, and even formulas for determining whether or not they are.</li></ul>"
myriad,"<ul><li>A myriad is a lot of something. If you’re talking about Ancient Greece, a myriad is ten thousand, but today you can use the word in myriad other ways.</li><li>Myriad comes from the Greek myrioi, the word for ten thousand, or less specifically, a countless amount. Myriad can be a noun, like a myriad of choices, or an adjective, like when you study myriad subjects in college. If you lift a rock you might find a myriad of bugs. Sticklers often look down their noses at using myriad as a noun, but that usage came first.</li></ul>"
mysteriously,"<ul><li>If something occurs in a strange or eerie way, you can say it happens mysteriously. Your little brother might mysteriously disappear every time the dog needs to be walked, for example.</li><li>When something can't be easily explained, it happens mysteriously. Some people say that boats mysteriously disappear in a region of the Atlantic Ocean known as the Bermuda Triangle, and others tell stories of sick people being mysteriously healed by prayer. At the heart of mysteriously is the noun mystery, which had only a religious meaning until the late fourteenth century, and which is rooted in the the Greek word mysterion, ""secret rite or doctrine.""</li></ul>"
narrow,"<ul><li>Narrow means less wide or to make less wide. When you narrow down your choices, you decrease the number of choices. A road might be too narrow for a car.</li><li>When used to describe something physical such as a street or hips, narrow simply means not wide. Similarly, with quantities it means not much like when you win your basketball game by a narrow margin. But if you use it to describe an attitude, it has the negative meaning of not wide or open enough. If you're narrow-minded, you don't see the big picture –– sometimes it means you think in narrow stereotypes.</li></ul>"
nature,"<ul><li>Your nature is sort of the way you are — the sum total of how you think, feel, and behave. It might be in your nature to remain calm and level-headed when faced with a difficult challenge.</li><li>Things that aren't people can also have their own nature. You might notice the frantic nature of a political debate, or you might question the nature of your brother's friendships. Nature can also refer to the physical world made up of plants and animals: what you think of as ""the great outdoors."" You might be a nature lover who enjoys hiking. Nature can also describe natural forces, such as the destructive elements of nature, like a tsunami or a tornado.</li></ul>"
nearly,"<ul><li>When something nearly happens, it comes very close to occurring, but doesn't. Nearly is a useful adverb for describing things that are almost accomplished.</li><li>If you and your brother nearly win the three-legged race, you lose by a matter of seconds. And, if you nearly drop your dog's leash at a busy intersection, your heart might pound from the closeness of your best pal's brush with danger. An interesting detail about nearly is that it nearly ended up with a different meaning: until the late 1600s, in fact, it meant ""carefully.""</li></ul>"
necessary,"<ul><li>Everyone can agree that certain things are necessary for survival: food, water, shelter. Some people might add chocolate to that list. Necessary refers to anything you can't do without.</li><li>Necessary, cede, and cease all come from the same root, cedere, which is Latin for ""to go away"" or ""to give something up.""  When something's necessary, you won't give it up. That fudge-covered brownie sundae from your favorite ice-cream shop? It might seem like a decadent treat, but if you're a true chocolate lover you'll insist that it's as necessary as a warm jacket in winter.</li></ul>"
needless to say,
nevertheless,"<ul><li>A funny-looking adverb that appears to be made up of three words squished together, nevertheless means “even so"" or ""all the same.”</li><li>It’s likely that nevertheless evolved from the Middle English neverthelater, a word with the same sense of “despite anything to the contrary” and “notwithstanding.”  You might say of your siblings, ""Sure we bicker and get sick of each other sometimes. Nevertheless, they’re family and I love them.""</li></ul>"
nocturnal,"<ul><li>If something is nocturnal, it belongs to or is active at night. That includes vampires, owls that like to hunt by moonlight, and that roommate who stays up playing video games until the wee hours of the morning.</li><li>The adjective nocturnal comes from the Late Latin nocturnalis, which means “belonging to the night."" You've probably heard of nocturnal animals, like bats and fireflies, who sleep during the day and come out to play when the sun goes down. The opposite of nocturnal is diurnal, meaning active during the daytime — but you probably won't be using that word much unless you're a zoologist.</li></ul>"
notable,"<ul><li>When something is notable, it's worthy of notice, or even famous. It might be a notable feature of your trip to New York City that you spotted one of the city's notable celebrities.</li><li>Notable is a very useful word — it allows you succinctly to note that from a long list of things you could say, you have thoughtfully picked out only the ones that are the most notable, the most worthy — a notable example of kindness to your listeners.</li></ul>"
notably,"<ul><li>The word notably singles people and things out as special. A notably brilliant scientist is especially brilliant, so you might want to take notes when she speaks!</li><li>Things that are described as notably are remarkable or striking in some way. A notably excellent painter is a great painter. A notably mean professor is one students will want to avoid, because that professor is really mean. A notably fast car is especially fast. This word is a type of intensifier, a notably strong intensifier.</li></ul>"
note,"<ul><li>A note is a very short piece of writing. You might write a note to your sister on the back of your grocery list, or jot down a quick note reminding yourself to call your grandmother later.</li><li>You might slip a love note under a door, or leave your cat sitter a note explaining how much to feed Fluffy. Other notes are taken during lectures or written in notebooks by journalists during interviews. You can also make a mental note, paying particular attention to something in the hopes that you'll remember it later. The Old French noter, ""indicate or write down,"" comes from the Latin root notare, ""to mark or note,"" from nota, ""mark.""</li></ul>"
noticeable,"<ul><li>Something that is noticeable is apparent or easy to be noticed. If the change in your report cards is noticeable, let's hope it’s because your grades went up!</li><li>It’s easy to remember noticeable, by thinking of it as able to be noticed. Noticeable also means deserving of being noticed, or notable, like good manners or good work habits. Other noticeable things are just easy to spot, and not always in a good way. That piece of spinach between your teeth the entire time you were having lunch with your boss? “Don’t worry; it was hardly noticeable.""</li></ul>"
notion,"<ul><li>If you have a notion that you can swim across the ocean, you are probably wrong. A notion is an idea, often vague and sometimes fanciful.</li><li>A notion is lighter than a theory and embraces a whimsy that a simple idea never could. You might have the notion that you can slow global warming by taking public transportation and reusing plastic bags. If you share a far-fetched idea with others, someone might respond with a ""Where'd you get that notion?!"" Notions can also refer to the buttons, thread, zippers, and pins necessary for sewing things. So if you have a notion to create your own Halloween costume, you better pick up some notions from the craft store.</li></ul>"
notwithstanding,"<ul><li>Notwithstanding means ""in spite of something."" Your boasts about having memorized the entire textbook and bribing the teacher with apples notwithstanding, you still managed to fail the final exam with flying colors.</li><li>You don't have to look too closely at the word to be able to break it into three parts: not- + withstand (to successfully oppose or resist) + the participial ending -ing. In the most literal sense, notwithstanding actually means to successfully oppose or resist. Top-of-the-line wet-traction tires notwithstanding, the car still got stuck in the mud. Notwithstanding works just as well in a more figurative context. His reputation for charm and tact notwithstanding, he offended everyone in the room.</li></ul>"
novel,"<ul><li>If something is so new and original that it's never been seen, used or even thought of before, call it novel. The noun novel describes a book-length work of fiction.</li><li>New and novel come from the same Indo-European root but by different paths. Whereas new is a Germanic word coming from Old English, novel is based on Latin novellus ""new, young, fresh."" If something is novel, it is new but also original, fresh and unique. Companies are always looking for that novel idea that will earn them millions and skydiving is a novel experience, especially if you're not adventurous.</li></ul>"
now and then,"<ul><li>Something that happens now and then occurs every once in a while. You call your grandma every single week, but your sibling only talks to her now and then.</li><li>You can use the phrase now and then for things you do occasionally or every so often. If your family almost always eats pizza on Friday night but sometimes orders Thai food instead, that means you get to eat your favorite pad Thai now and then. Now and then has been used this way since at least the 1550s — before that, people said then and then instead.</li></ul>"
objective,"<ul><li>An objective is something you plan to achieve. A military objective is the overall plan for a mission. The objective for a bake sale is to raise money. If your objective is to learn a new word, you have succeeded.</li><li>An objective is the point of something. If you don’t understand the objective of a class, then you don’t know what you were supposed to learn. The word itself is often used in business or work. Another meaning of objective is “looking at things in a detached, impartial, fact-based way.” If a police officer falls in love with a witness, it might be hard for her to stay objective. The word comes from the Latin ob ""against"" + jacere ""to throw.”</li></ul>"
oblige,"<ul><li>To oblige is to do something you have to, because you're bound by either good manners or the law.</li><li>You are obliged to pay back your student loans, or for your portion of the dinner bill. You may also feel obliged to bring a gift if you're invited to a wedding. You can also tip your cowboy hat and be ""much obliged"" if someone does you a favor. The French phrase, noblesse oblige means basically that ""privilege entails responsibility,"" or that the wealthy are obliged to do something productive in the world and not just sit around polishing their silver spoons.</li></ul>"
obscure,"<ul><li>If something is obscure, it's vague and hard to see. Be careful if you're driving in heavy rain — the painted lines can be obscure.</li><li>Obscure comes from Latin obscurus, which can mean ""dark, dim,"" ""unclear, hard to understand,"" or ""insignificant, humble."" We tend to use obscure in the metaphorical senses: an obscure sound is unclear, an obscure village is hidden away in the countryside, and an obscure poet is little known and probably insignificant. Obscure can also be used as a verb. If you get really nervous when you speak during a debate, your embarrassing twitches and shaking hands can obscure your argument.</li></ul>"
obscure,"<ul><li>If something is obscure, it's vague and hard to see. Be careful if you're driving in heavy rain — the painted lines can be obscure.</li><li>Obscure comes from Latin obscurus, which can mean ""dark, dim,"" ""unclear, hard to understand,"" or ""insignificant, humble."" We tend to use obscure in the metaphorical senses: an obscure sound is unclear, an obscure village is hidden away in the countryside, and an obscure poet is little known and probably insignificant. Obscure can also be used as a verb. If you get really nervous when you speak during a debate, your embarrassing twitches and shaking hands can obscure your argument.</li></ul>"
obtain,"<ul><li>Obtain means to get something that is not so easy to come by such as knowledge, rights, or a large amount of money. You wouldn't say you obtained a pair of pants, unless they were one of a kind.</li><li>At times in its history, obtain has meant to be victorious or to succeed. Today, it mostly means to acquire, but keeping its prior meanings in mind helps you to use it in the right way. College degrees are something that you obtain as is permission from your parents to go to a party. When you obtain something, you have worked hard to get it, so you are pretty happy to have it.</li></ul>"
obvious,"<ul><li>Something obvious is plain to see and easily understandable. It was obvious that you didn't enjoy your meal because I found it rolled in a napkin and shoved under the rug.</li><li>There's nothing vague about the adjective obvious — it's right there in front of your eyes! It describes something that's easy to figure out or the most straightforward option. If someone states the obvious, you're likely to respond with a sarcastic ""No duh!"" or ""Thanks Sherlock."" If obvious isn't the obvious word of choice, you can try a synonym such as ""evident"" or ""apparent.""</li></ul>"
obviously,"<ul><li>Something obviously true is clearly, totally, unmistakably true. There's just no doubt about it.</li><li>Obviously is a word people use when they are sure of something and sure that it's plainly clear to others. When you get presents on your birthday, you're obviously happy. Dogs obviously like to chase squirrels. The sky is obviously blue. People also use this word when they're being mean or sarcastic. If you didn't know who walked on the moon, a friend might say, ""Obviously, it was Neil Armstrong!""</li></ul>"
occasion,"<ul><li>Occasion means something special––that happens seldom or is notable when it does. On occasion, we sit down together as a family, but not every day, and never for dinner. When Great Aunt Mabel visits, however, we rise to the occasion and stage a large family meal.</li><li>Occasion can also mean a designated time or reason something happens, or it can be an event in itself.  I'm giving you your grandmother's ring on the occasion of your graduation from high school. I haven't had occasion to look at it since she died. It's valuable, so only wear it on special occasions.</li></ul>"
occasionally,"<ul><li>Something that happens occasionally doesn't happen all the time, just every once in a while.  You play poker occasionally just to remind yourself that you always lose.</li><li>The adverb occasionally is good for things that happen every now and then. You get tired of the cold occasionally, but the snow is lovely.  Occasionally, you think of your long lost love, but never write.  The idea comes to you occasionally that you should move somewhere with more people and warmer weather.  I worry about you occasionally.</li></ul>"
likelihood,"<ul><li>The likelihood of something means the odds that it will happen, or how likely a particular outcome is. Your likelihood of winning the lottery is pretty slim.</li><li>If you figured out the likelihood of winning the lottery before you bought a scratch ticket, you might end up spending your money on something else. Likelihood indicates probability or chance. The likelihood that you'll convince your stubborn dog to get in your car completely depends on how many dog treats you've got in your pocket.</li></ul>"
offset,"<ul><li>When you offset something—say, the price of gas—you find a way to make up for it. My new car's ability to get fifty miles per gallon offset the rise in the price of gas. Offset functions as both a noun and a verb.</li><li>Okay, let's talk turkey. The Duke's lack of height was offset by his enormous wig. Even without shoes, he towered above most people, because his wig alone was five feet tall. The cost of the wig—close to $10,000—was easily offset by its quality: it was worth every cent. The inconvenience of the blizzard was offset by the joy of not having to go to school or work—or even get out of bed. The joy was what you might call an offset.</li></ul>"
old male,
omit,"<ul><li>If you omit one member of the class when you're handing out valentines, it's going to make that person feel terrible. To omit something is to leave it out, to forget or overlook it.</li><li>The verb omit comes from the Latin word omittere, ""to let go or to lay aside,"" which is exactly what it means. When you omit an ingredient you need for your brownie recipe from the grocery list, you've accidentally left off an important item. You can also deliberately omit something, which you'd do if you didn't include your least favorite cousin when you invited your relatives to a family reunion.</li></ul>"
on the contrary,
on the whole,
ongoing,"<ul><li>If something is ongoing, it is happening now. If you have an ongoing argument with your neighbor, it means you were arguing before, you’re arguing now, and it looks like you'll be arguing into the future.</li><li>If something is ongoing, it is currently in action. Often in news reports, reference will be made to an ongoing investigation because the police are in the midst of it at the moment of reporting. Ongoing reports are currently in progress as are ongoing repairs. If your teachers say that there will be ongoing testing throughout the year, you won't be done with it until you get out of school.</li></ul>"
onset,"<ul><li>When something is at its onset, it's at the beginning, just getting started, and it's often something that's not so pleasant. The onset of hurricane season is probably not the best time to visit the beach.</li><li>If you catch an infection right at the onset and treat it immediately, the infection may not last so long. You can also have an early onset of something, and that usually means something you'd rather not have at all, as with early-onset Alzheimer's, a disease that usually appears after age 65. If you begin showing signs of the disease at a younger age than usual, you're said to have early-onset Alzheimer's.</li></ul>"
optimal,"<ul><li>Something that's optimal is the best or most favorable for a given situation. Flowers? Check. Chocolates? Check. Dinner reservation? Check. Sounds like you have the optimal conditions for a successful anniversary date.</li><li>There's an implication with optimal that certain restrictions exist in a given situation, so that what is optimal isn't necessarily the ideal scenario — it's the best one given those limitations. For example, optimal population levels for a species are not the highest levels — instead they're the best levels that a particular environment can sustain. Often the word optimum is used interchangeably with optimal.</li></ul>"
option,"<ul><li>An option is a possibility or choice. In football, a quarterback with three wide receivers has (at least) three throwing options.</li><li>An option is something that can be chosen — it's a possibility. Even something crazy — like jumping off a cliff — is always an option, just not a good one. There are lots of technical uses of option in business and legal writing. If you have the option on a house, you have the right to buy it. In sports, a free agent has the option of joining another team. No matter what you do, it's nice to have options. When we have no options, we feel trapped.</li></ul>"
orchestrate,"<ul><li>To orchestrate is to design or organize something, like a plan or a project. You could orchestrate an orchestra or you could just orchestrate a yard sale.</li><li>An orchestra is a large group of classical musicians led by a conductor: it consists of many people playing together. Similarly, when we talk about orchestrating, someone is coordinating the activities of many people to accomplish something. The manager of an office orchestrates the business. A coach orchestrates the play of the team. Terrorist leaders orchestrate attacks. Orchestrating is like directing, and it applies to many more things than just music.</li></ul>"
orientation,"<ul><li>Orientation is all about the direction you're facing. A house can have an east-facing orientation. Freshman orientation starts you off in a good direction. Your political orientation means your political outlook.</li><li>Orientation is a relatively new word that was derived in the 19th century from orient, which means to point yourself in a specific direction. Hiking with a map and a compass is sometimes called orienteering, referring to hikers' use of those tools to orient themselves.</li></ul>"
originally,
originate,"<ul><li>Originate is a verb that means to start or create something. You can originate the idea of adding a fancy new coffee machine to your company's break room, and before long, your entire office could be happily drinking mocha lattes.</li><li>Originate is the place or point at which any new thing or idea starts. It usually doesn't end there, though. A carpet that originates in Turkey can travel all the way to an apartment in New York. A rumor can originate during first period, but by lunchtime it will have made its way around the entire high school.</li></ul>"
